round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1758,1.0350,446958480,0.010000
1,0.1333,1.6016,446958480,0.009980
2,0.1691,1.2480,446958480,0.009960
3,0.1394,1.6460,446958480,0.009940
4,0.1817,1.2278,446958480,0.009920
5,0.1014,1.2390,446958480,0.009900
6,0.1810,1.0758,446958480,0.009881
7,0.2207,1.1583,446958480,0.009861
8,0.2082,0.9796,446958480,0.009841
9,0.2039,0.9394,446958480,0.009821
10,0.2377,0.8975,446958480,0.009802
11,0.2295,1.1250,446958480,0.009782
12,0.1894,0.8135,446958480,0.009763
13,0.2325,0.9175,446958480,0.009743
14,0.2158,1.1954,446958480,0.009724
15,0.2332,1.1055,446958480,0.009704
16,0.2240,1.0104,446958480,0.009685
17,0.2958,1.1284,446958480,0.009665
18,0.2285,1.3922,446958480,0.009646
19,0.2719,1.3151,446958480,0.009627
20,0.2854,0.8958,446958480,0.009608
21,0.3393,0.9235,446958480,0.009588
22,0.1999,0.8250,446958480,0.009569
23,0.3046,0.6185,446958480,0.009550
24,0.2465,0.9731,446958480,0.009531
25,0.3580,0.8061,446958480,0.009512
26,0.2850,0.9432,446958480,0.009493
27,0.3534,0.9977,446958480,0.009474
28,0.3405,0.8100,446958480,0.009455
29,0.3368,0.8559,446958480,0.009436
30,0.3090,0.7407,446958480,0.009417
31,0.3426,0.8688,446958480,0.009398
32,0.3961,0.6336,446958480,0.009379
33,0.3661,0.6645,446958480,0.009361
34,0.3160,0.8165,446958480,0.009342
35,0.2927,0.7970,446958480,0.009323
36,0.2158,0.9923,446958480,0.009305
37,0.2739,0.6727,446958480,0.009286
38,0.3850,1.0163,446958480,0.009267
39,0.2375,0.7385,446958480,0.009249
40,0.2653,0.9201,446958480,0.009230
41,0.3042,0.7103,446958480,0.009212
42,0.3339,0.8421,446958480,0.009194
43,0.4518,0.9775,446958480,0.009175
44,0.3599,0.6621,446958480,0.009157
45,0.3724,0.6259,446958480,0.009138
46,0.3366,0.7098,446958480,0.009120
47,0.3582,0.8475,446958480,0.009102
48,0.4500,0.7064,446958480,0.009084
49,0.3213,0.7984,446958480,0.009066
50,0.4029,0.7594,446958480,0.009047
51,0.3860,0.6791,446958480,0.009029
52,0.4006,0.8774,446958480,0.009011
53,0.2952,0.9027,446958480,0.008993
54,0.3132,1.0067,446958480,0.008975
55,0.4883,0.7361,446958480,0.008957
56,0.5034,0.4066,446958480,0.008939
57,0.4981,0.8129,446958480,0.008922
58,0.4394,0.5953,446958480,0.008904
59,0.4687,0.5515,446958480,0.008886
60,0.4769,0.5565,446958480,0.008868
61,0.4802,0.8110,446958480,0.008850
62,0.5225,0.4888,446958480,0.008833
63,0.4952,0.5669,446958480,0.008815
64,0.5321,0.5233,446958480,0.008797
65,0.4904,0.5518,446958480,0.008780
66,0.4135,0.4534,446958480,0.008762
67,0.4448,0.4282,446958480,0.008745
68,0.3787,0.5453,446958480,0.008727
69,0.4656,0.7209,446958480,0.008710
70,0.4487,0.5769,446958480,0.008692
71,0.4372,0.6152,446958480,0.008675
72,0.4212,0.5480,446958480,0.008658
73,0.5604,0.8166,446958480,0.008640
74,0.3312,0.6950,446958480,0.008623
75,0.4939,0.6344,446958480,0.008606
76,0.3283,0.6441,446958480,0.008589
77,0.5407,1.1851,446958480,0.008571
78,0.5928,0.6179,446958480,0.008554
79,0.4435,0.5666,446958480,0.008537
80,0.5122,0.6456,446958480,0.008520
81,0.5565,0.5501,446958480,0.008503
82,0.5548,0.6084,446958480,0.008486
83,0.5099,0.7455,446958480,0.008469
84,0.5764,0.4896,446958480,0.008452
85,0.5644,0.4874,446958480,0.008435
86,0.6159,0.4861,446958480,0.008418
87,0.4846,0.4449,446958480,0.008402
88,0.3873,0.6023,446958480,0.008385
89,0.5610,0.7356,446958480,0.008368
90,0.4839,0.5816,446958480,0.008351
91,0.4821,0.6003,446958480,0.008334
92,0.5437,0.6057,446958480,0.008318
93,0.5894,0.6932,446958480,0.008301
94,0.3477,0.4393,446958480,0.008285
95,0.3380,0.9993,446958480,0.008268
96,0.4806,0.6205,446958480,0.008251
97,0.5393,0.5784,446958480,0.008235
98,0.6547,0.5622,446958480,0.008219
99,0.6001,0.3851,446958480,0.008202
100,0.5194,0.5965,446958480,0.008186
101,0.6115,0.4253,446958480,0.008169
102,0.4904,0.5301,446958480,0.008153
103,0.4819,0.5847,446958480,0.008137
104,0.5261,0.5063,446958480,0.008120
105,0.4880,0.5729,446958480,0.008104
106,0.4818,0.5885,446958480,0.008088
107,0.5516,0.4866,446958480,0.008072
108,0.6148,0.4316,446958480,0.008056
109,0.5747,0.3993,446958480,0.008039
110,0.5391,0.4300,446958480,0.008023
111,0.6357,0.4617,446958480,0.008007
112,0.6426,0.4648,446958480,0.007991
113,0.5083,0.3672,446958480,0.007975
114,0.6134,0.5230,446958480,0.007959
115,0.5924,0.3321,446958480,0.007944
116,0.4395,0.3761,446958480,0.007928
117,0.4888,0.6751,446958480,0.007912
118,0.5604,0.7099,446958480,0.007896
119,0.4260,0.6287,446958480,0.007880
120,0.4511,0.4029,446958480,0.007864
121,0.5664,0.5810,446958480,0.007849
122,0.6340,0.5150,446958480,0.007833
123,0.5871,0.3746,446958480,0.007817
124,0.5316,0.4703,446958480,0.007802
125,0.4668,0.5326,446958480,0.007786
126,0.5268,0.4271,446958480,0.007770
127,0.5619,0.6317,446958480,0.007755
128,0.6742,0.4787,446958480,0.007739
129,0.5692,0.3528,446958480,0.007724
130,0.4891,0.6038,446958480,0.007709
131,0.5653,0.5942,446958480,0.007693
132,0.6114,0.5493,446958480,0.007678
133,0.4342,0.4597,446958480,0.007662
134,0.4504,0.7657,446958480,0.007647
135,0.5120,0.4855,446958480,0.007632
136,0.4450,0.4936,446958480,0.007616
137,0.4586,0.8779,446958480,0.007601
138,0.6093,0.8281,446958480,0.007586
139,0.7422,0.4728,446958480,0.007571
140,0.5942,0.3416,446958480,0.007556
141,0.6404,0.2213,446958480,0.007541
142,0.6520,0.3293,446958480,0.007526
143,0.4824,0.3687,446958480,0.007510
144,0.5983,0.5236,446958480,0.007495
145,0.6451,0.3940,446958480,0.007480
146,0.6255,0.6328,446958480,0.007466
147,0.5311,0.3894,446958480,0.007451
148,0.5388,0.5133,446958480,0.007436
149,0.6634,0.7742,446958480,0.007421
150,0.6859,0.4550,446958480,0.007406
151,0.6718,0.3196,446958480,0.007391
152,0.6222,0.2226,446958480,0.007376
153,0.5761,0.4213,446958480,0.007362
154,0.5799,0.3202,446958480,0.007347
155,0.6561,0.4340,446958480,0.007332
156,0.7294,0.2670,446958480,0.007318
157,0.5900,0.2920,446958480,0.007303
158,0.6675,0.4051,446958480,0.007288
159,0.5559,0.4816,446958480,0.007274
160,0.5711,0.3226,446958480,0.007259
161,0.6299,0.3399,446958480,0.007245
162,0.5532,0.4609,446958480,0.007230
163,0.5504,0.5657,446958480,0.007216
164,0.5257,0.4664,446958480,0.007201
165,0.6122,0.4428,446958480,0.007187
166,0.5377,0.2970,446958480,0.007172
167,0.6772,0.4871,446958480,0.007158
168,0.7115,0.5807,446958480,0.007144
169,0.6479,0.4605,446958480,0.007130
170,0.6488,0.2883,446958480,0.007115
171,0.5076,0.4033,446958480,0.007101
172,0.6418,0.3393,446958480,0.007087
173,0.7236,0.4435,446958480,0.007073
174,0.6933,0.3968,446958480,0.007059
175,0.7042,0.3897,446958480,0.007044
176,0.5252,0.4174,446958480,0.007030
177,0.6543,0.4919,446958480,0.007016
178,0.5846,0.3715,446958480,0.007002
179,0.6731,0.3873,446958480,0.006988
180,0.5686,0.3939,446958480,0.006974
181,0.5672,0.3848,446958480,0.006960
182,0.6693,0.4567,446958480,0.006946
183,0.6258,0.3605,446958480,0.006932
184,0.5693,0.4612,446958480,0.006919
185,0.5971,0.4888,446958480,0.006905
186,0.6092,0.3921,446958480,0.006891
187,0.6598,0.3642,446958480,0.006877
188,0.5964,0.3130,446958480,0.006863
189,0.4470,0.4288,446958480,0.006850
190,0.6336,0.3784,446958480,0.006836
191,0.6633,0.2515,446958480,0.006822
192,0.5131,0.3930,446958480,0.006809
193,0.6641,0.4026,446958480,0.006795
194,0.6030,0.2977,446958480,0.006781
195,0.6860,0.4141,446958480,0.006768
196,0.7150,0.2769,446958480,0.006754
197,0.6657,0.2890,446958480,0.006741
198,0.7162,0.2411,446958480,0.006727
199,0.6933,0.3076,446958480,0.006714
200,0.7241,0.4158,446958480,0.006701
201,0.6085,0.2850,446958480,0.006687
202,0.5949,0.3154,446958480,0.006674
203,0.6866,0.4911,446958480,0.006660
204,0.6718,0.2301,446958480,0.006647
205,0.5753,0.3070,446958480,0.006634
206,0.6558,0.4231,446958480,0.006621
