round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.2377,1.8691,446958480,0.010000
1,0.2457,1.6646,446958480,0.009980
2,0.3356,1.6413,446958480,0.009960
3,0.3308,1.4555,446958480,0.009940
4,0.4090,1.4716,446958480,0.009920
5,0.4085,1.3712,446958480,0.009900
6,0.4550,1.3022,446958480,0.009881
7,0.4503,1.2597,446958480,0.009861
8,0.4717,1.1631,446958480,0.009841
9,0.4481,1.1343,446958480,0.009821
10,0.4717,1.1287,446958480,0.009802
11,0.4755,1.0856,446958480,0.009782
12,0.5254,1.0650,446958480,0.009763
13,0.5305,1.0585,446958480,0.009743
14,0.5307,0.8858,446958480,0.009724
15,0.5508,1.0217,446958480,0.009704
16,0.5623,0.8731,446958480,0.009685
17,0.5453,0.8542,446958480,0.009665
18,0.5723,0.8856,446958480,0.009646
19,0.5997,0.8520,446958480,0.009627
20,0.5803,0.8015,446958480,0.009608
21,0.5962,0.7865,446958480,0.009588
22,0.5665,0.7954,446958480,0.009569
23,0.6161,0.7908,446958480,0.009550
24,0.6261,0.7086,446958480,0.009531
25,0.6354,0.7299,446958480,0.009512
26,0.6302,0.7561,446958480,0.009493
27,0.6465,0.6633,446958480,0.009474
28,0.6475,0.7042,446958480,0.009455
29,0.6450,0.6607,446958480,0.009436
30,0.6502,0.7071,446958480,0.009417
31,0.6385,0.6394,446958480,0.009398
32,0.6277,0.6254,446958480,0.009379
33,0.6170,0.6148,446958480,0.009361
34,0.6854,0.6442,446958480,0.009342
35,0.6766,0.5716,446958480,0.009323
36,0.6726,0.5883,446958480,0.009305
37,0.6849,0.5437,446958480,0.009286
38,0.6778,0.5506,446958480,0.009267
39,0.6910,0.5102,446958480,0.009249
40,0.7028,0.5063,446958480,0.009230
41,0.6998,0.5000,446958480,0.009212
42,0.7130,0.4951,446958480,0.009194
43,0.7044,0.5277,446958480,0.009175
44,0.6929,0.5353,446958480,0.009157
45,0.7276,0.4916,446958480,0.009138
46,0.7176,0.4737,446958480,0.009120
47,0.7158,0.5083,446958480,0.009102
48,0.7125,0.4648,446958480,0.009084
49,0.7166,0.4740,446958480,0.009066
50,0.7128,0.4560,446958480,0.009047
51,0.7400,0.4548,446958480,0.009029
52,0.7330,0.3961,446958480,0.009011
53,0.7399,0.5010,446958480,0.008993
54,0.7263,0.4438,446958480,0.008975
55,0.7495,0.4686,446958480,0.008957
56,0.7422,0.3929,446958480,0.008939
57,0.7491,0.4241,446958480,0.008922
58,0.7550,0.3894,446958480,0.008904
59,0.7487,0.4223,446958480,0.008886
60,0.7628,0.3969,446958480,0.008868
61,0.7754,0.4135,446958480,0.008850
62,0.7506,0.3712,446958480,0.008833
63,0.7434,0.3685,446958480,0.008815
64,0.7769,0.3679,446958480,0.008797
65,0.7710,0.3630,446958480,0.008780
66,0.7520,0.3607,446958480,0.008762
67,0.7532,0.3657,446958480,0.008745
68,0.7711,0.3396,446958480,0.008727
69,0.7507,0.3739,446958480,0.008710
70,0.7755,0.3715,446958480,0.008692
71,0.7772,0.3717,446958480,0.008675
72,0.7852,0.3404,446958480,0.008658
73,0.7839,0.3760,446958480,0.008640
74,0.7865,0.3256,446958480,0.008623
75,0.7794,0.3165,446958480,0.008606
76,0.7882,0.3326,446958480,0.008589
77,0.7805,0.3531,446958480,0.008571
78,0.7802,0.3555,446958480,0.008554
79,0.7752,0.3591,446958480,0.008537
80,0.7743,0.3229,446958480,0.008520
81,0.7830,0.3475,446958480,0.008503
82,0.8001,0.2736,446958480,0.008486
83,0.7971,0.3590,446958480,0.008469
84,0.7819,0.2860,446958480,0.008452
85,0.7964,0.3122,446958480,0.008435
86,0.7963,0.2931,446958480,0.008418
87,0.7975,0.3055,446958480,0.008402
88,0.7977,0.3057,446958480,0.008385
89,0.7737,0.2711,446958480,0.008368
90,0.7800,0.2893,446958480,0.008351
91,0.8050,0.3130,446958480,0.008334
92,0.7853,0.2908,446958480,0.008318
93,0.7969,0.2672,446958480,0.008301
94,0.8098,0.2753,446958480,0.008285
95,0.7985,0.2869,446958480,0.008268
96,0.7912,0.2556,446958480,0.008251
97,0.7951,0.2469,446958480,0.008235
98,0.8119,0.2727,446958480,0.008219
99,0.8129,0.2753,446958480,0.008202
100,0.8019,0.2734,446958480,0.008186
101,0.8063,0.2745,446958480,0.008169
102,0.8094,0.2571,446958480,0.008153
103,0.8115,0.2431,446958480,0.008137
104,0.8088,0.2496,446958480,0.008120
105,0.8110,0.2664,446958480,0.008104
106,0.8090,0.3014,446958480,0.008088
107,0.8037,0.2557,446958480,0.008072
108,0.8133,0.2878,446958480,0.008056
109,0.8049,0.2347,446958480,0.008039
110,0.8090,0.2872,446958480,0.008023
111,0.8154,0.2372,446958480,0.008007
112,0.8086,0.2574,446958480,0.007991
113,0.8129,0.2208,446958480,0.007975
114,0.8261,0.2475,446958480,0.007959
115,0.8188,0.2124,446958480,0.007944
116,0.8190,0.2560,446958480,0.007928
117,0.8206,0.2342,446958480,0.007912
118,0.8308,0.2209,446958480,0.007896
119,0.8039,0.2572,446958480,0.007880
120,0.8070,0.2486,446958480,0.007864
121,0.8077,0.2581,446958480,0.007849
122,0.8280,0.2325,446958480,0.007833
123,0.8277,0.2007,446958480,0.007817
124,0.8212,0.2229,446958480,0.007802
125,0.8229,0.1995,446958480,0.007786
126,0.8153,0.2232,446958480,0.007770
127,0.8007,0.2510,446958480,0.007755
128,0.8070,0.2277,446958480,0.007739
129,0.8137,0.2168,446958480,0.007724
130,0.8184,0.2000,446958480,0.007709
131,0.8209,0.1673,446958480,0.007693
132,0.8314,0.2321,446958480,0.007678
133,0.8209,0.2095,446958480,0.007662
134,0.8361,0.2096,446958480,0.007647
135,0.8325,0.2187,446958480,0.007632
136,0.8318,0.2345,446958480,0.007616
137,0.8341,0.1799,446958480,0.007601
138,0.8315,0.1962,446958480,0.007586
139,0.8167,0.2717,446958480,0.007571
140,0.8376,0.2484,446958480,0.007556
141,0.8479,0.2067,446958480,0.007541
142,0.8314,0.1849,446958480,0.007526
143,0.8336,0.2117,446958480,0.007510
144,0.8282,0.1836,446958480,0.007495
145,0.8288,0.1930,446958480,0.007480
146,0.8335,0.2080,446958480,0.007466
147,0.8317,0.1809,446958480,0.007451
148,0.8298,0.1925,446958480,0.007436
149,0.8308,0.2101,446958480,0.007421
150,0.8159,0.1809,446958480,0.007406
151,0.8223,0.1923,446958480,0.007391
152,0.8397,0.1842,446958480,0.007376
153,0.8468,0.1834,446958480,0.007362
154,0.8368,0.2068,446958480,0.007347
155,0.8342,0.1968,446958480,0.007332
156,0.8406,0.1635,446958480,0.007318
157,0.8323,0.1846,446958480,0.007303
158,0.8364,0.1739,446958480,0.007288
159,0.8394,0.1563,446958480,0.007274
160,0.8281,0.1896,446958480,0.007259
161,0.8361,0.2072,446958480,0.007245
162,0.8415,0.1781,446958480,0.007230
163,0.8419,0.1818,446958480,0.007216
164,0.8484,0.1965,446958480,0.007201
165,0.8497,0.1720,446958480,0.007187
166,0.8359,0.1966,446958480,0.007172
167,0.8425,0.1626,446958480,0.007158
168,0.8306,0.1479,446958480,0.007144
169,0.8422,0.1481,446958480,0.007130
170,0.8404,0.1592,446958480,0.007115
171,0.8409,0.1953,446958480,0.007101
172,0.8362,0.1974,446958480,0.007087
173,0.8418,0.1865,446958480,0.007073
174,0.8451,0.1691,446958480,0.007059
175,0.8466,0.1689,446958480,0.007044
176,0.8506,0.1916,446958480,0.007030
177,0.8527,0.1371,446958480,0.007016
178,0.8515,0.1458,446958480,0.007002
179,0.8365,0.1361,446958480,0.006988
180,0.8452,0.1499,446958480,0.006974
181,0.8493,0.1569,446958480,0.006960
182,0.8440,0.1684,446958480,0.006946
183,0.8347,0.1913,446958480,0.006932
184,0.8465,0.1687,446958480,0.006919
185,0.8422,0.2032,446958480,0.006905
186,0.8533,0.1615,446958480,0.006891
187,0.8561,0.1393,446958480,0.006877
188,0.8418,0.1713,446958480,0.006863
189,0.8437,0.1503,446958480,0.006850
190,0.8512,0.1575,446958480,0.006836
191,0.8484,0.1273,446958480,0.006822
192,0.8565,0.1702,446958480,0.006809
