round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1605,1.0282,446958480,0.010000
1,0.1213,1.0728,446958480,0.009980
2,0.1862,0.7874,446958480,0.009960
3,0.1744,0.9542,446958480,0.009940
4,0.1849,0.8282,446958480,0.009920
5,0.2269,0.8987,446958480,0.009900
6,0.1712,0.7862,446958480,0.009881
7,0.2283,0.8573,446958480,0.009861
8,0.2695,0.7380,446958480,0.009841
9,0.2163,0.7169,446958480,0.009821
10,0.2311,0.7409,446958480,0.009802
11,0.2746,0.8981,446958480,0.009782
12,0.2536,0.5756,446958480,0.009763
13,0.2636,0.7042,446958480,0.009743
14,0.2344,0.7016,446958480,0.009724
15,0.1956,0.8586,446958480,0.009704
16,0.3063,0.7623,446958480,0.009685
17,0.3315,0.7893,446958480,0.009665
18,0.2803,0.7774,446958480,0.009646
19,0.2565,0.7471,446958480,0.009627
20,0.3389,0.5334,446958480,0.009608
21,0.3370,0.6829,446958480,0.009588
22,0.2954,0.5641,446958480,0.009569
23,0.3175,0.4679,446958480,0.009550
24,0.3268,0.6404,446958480,0.009531
25,0.3643,0.6383,446958480,0.009512
26,0.3555,0.6725,446958480,0.009493
27,0.3744,0.5580,446958480,0.009474
28,0.3648,0.6294,446958480,0.009455
29,0.4126,0.5873,446958480,0.009436
30,0.2703,0.4967,446958480,0.009417
31,0.3339,0.5716,446958480,0.009398
32,0.3583,0.4248,446958480,0.009379
33,0.3383,0.4660,446958480,0.009361
34,0.3562,0.6240,446958480,0.009342
35,0.3910,0.5192,446958480,0.009323
36,0.3013,0.5157,446958480,0.009305
37,0.3881,0.4390,446958480,0.009286
38,0.4143,0.6144,446958480,0.009267
39,0.3155,0.5146,446958480,0.009249
40,0.4003,0.5713,446958480,0.009230
41,0.4086,0.4443,446958480,0.009212
42,0.4012,0.5662,446958480,0.009194
43,0.4843,0.6221,446958480,0.009175
44,0.3268,0.4482,446958480,0.009157
45,0.4228,0.4073,446958480,0.009138
46,0.4364,0.4070,446958480,0.009120
47,0.3870,0.5087,446958480,0.009102
48,0.4487,0.5158,446958480,0.009084
49,0.3710,0.4778,446958480,0.009066
50,0.4439,0.4610,446958480,0.009047
51,0.4818,0.4813,446958480,0.009029
52,0.4156,0.5007,446958480,0.009011
53,0.3365,0.5117,446958480,0.008993
54,0.4167,0.5160,446958480,0.008975
55,0.5115,0.4577,446958480,0.008957
56,0.5178,0.2573,446958480,0.008939
57,0.4545,0.5431,446958480,0.008922
58,0.4989,0.3904,446958480,0.008904
59,0.4637,0.4192,446958480,0.008886
60,0.5016,0.3789,446958480,0.008868
61,0.5493,0.5212,446958480,0.008850
62,0.5238,0.3493,446958480,0.008833
63,0.4770,0.4000,446958480,0.008815
64,0.4896,0.4043,446958480,0.008797
65,0.4737,0.3957,446958480,0.008780
66,0.4501,0.3212,446958480,0.008762
