round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1837,2.2217,446958480,0.010000
1,0.2131,2.1143,446958480,0.009980
2,0.2708,1.9992,446958480,0.009960
3,0.2844,1.9000,446958480,0.009940
4,0.3178,1.8152,446958480,0.009920
5,0.3191,1.7821,446958480,0.009900
6,0.3330,1.7249,446958480,0.009881
7,0.3557,1.6961,446958480,0.009861
8,0.3727,1.6712,446958480,0.009841
9,0.3786,1.6591,446958480,0.009821
10,0.4002,1.5931,446958480,0.009802
11,0.3979,1.5660,446958480,0.009782
12,0.4140,1.5262,446958480,0.009763
13,0.4252,1.5476,446958480,0.009743
14,0.4321,1.4970,446958480,0.009724
15,0.4462,1.4651,446958480,0.009704
16,0.4549,1.4262,446958480,0.009685
17,0.4549,1.4136,446958480,0.009665
18,0.4691,1.3965,446958480,0.009646
19,0.4740,1.4150,446958480,0.009627
20,0.4911,1.3375,446958480,0.009608
21,0.5008,1.2986,446958480,0.009588
22,0.5014,1.2821,446958480,0.009569
23,0.4991,1.2780,446958480,0.009550
24,0.5171,1.2251,446958480,0.009531
25,0.5225,1.1982,446958480,0.009512
26,0.5281,1.1800,446958480,0.009493
27,0.5433,1.1722,446958480,0.009474
28,0.5424,1.1284,446958480,0.009455
29,0.5535,1.1283,446958480,0.009436
30,0.5494,1.0996,446958480,0.009417
31,0.5612,1.0661,446958480,0.009398
32,0.5566,1.1169,446958480,0.009379
33,0.5695,1.0608,446958480,0.009361
34,0.5724,1.0337,446958480,0.009342
35,0.5868,1.0508,446958480,0.009323
36,0.5888,0.9909,446958480,0.009305
37,0.5939,0.9701,446958480,0.009286
38,0.5917,0.9480,446958480,0.009267
39,0.6036,0.9558,446958480,0.009249
40,0.6073,0.9283,446958480,0.009230
41,0.6070,0.8965,446958480,0.009212
42,0.6102,0.8647,446958480,0.009194
43,0.6116,0.8702,446958480,0.009175
44,0.6203,0.8558,446958480,0.009157
45,0.6359,0.8615,446958480,0.009138
46,0.6357,0.8298,446958480,0.009120
47,0.6417,0.8060,446958480,0.009102
48,0.6413,0.8161,446958480,0.009084
49,0.6426,0.7763,446958480,0.009066
50,0.6540,0.7924,446958480,0.009047
51,0.6544,0.7664,446958480,0.009029
52,0.6559,0.7731,446958480,0.009011
53,0.6525,0.7043,446958480,0.008993
54,0.6574,0.7639,446958480,0.008975
55,0.6651,0.7282,446958480,0.008957
56,0.6716,0.7012,446958480,0.008939
57,0.6687,0.6852,446958480,0.008922
58,0.6736,0.6867,446958480,0.008904
59,0.6757,0.6660,446958480,0.008886
60,0.6740,0.6769,446958480,0.008868
61,0.6738,0.6992,446958480,0.008850
62,0.6738,0.6402,446958480,0.008833
63,0.6810,0.6484,446958480,0.008815
64,0.6766,0.6061,446958480,0.008797
65,0.6851,0.6367,446958480,0.008780
66,0.6924,0.5867,446958480,0.008762
67,0.6955,0.6016,446958480,0.008745
68,0.6922,0.5612,446958480,0.008727
69,0.6962,0.6041,446958480,0.008710
70,0.7016,0.5911,446958480,0.008692
71,0.7033,0.5846,446958480,0.008675
72,0.7041,0.5992,446958480,0.008658
73,0.7014,0.6107,446958480,0.008640
74,0.7027,0.5385,446958480,0.008623
75,0.7112,0.5093,446958480,0.008606
76,0.7091,0.5365,446958480,0.008589
77,0.7058,0.5550,446958480,0.008571
78,0.7095,0.5215,446958480,0.008554
79,0.7195,0.5239,446958480,0.008537
80,0.7229,0.5035,446958480,0.008520
81,0.7250,0.4890,446958480,0.008503
82,0.7237,0.5057,446958480,0.008486
83,0.7260,0.4887,446958480,0.008469
84,0.7255,0.4531,446958480,0.008452
85,0.7222,0.4617,446958480,0.008435
86,0.7196,0.4642,446958480,0.008418
87,0.7320,0.4928,446958480,0.008402
88,0.7329,0.4451,446958480,0.008385
89,0.7353,0.4550,446958480,0.008368
90,0.7366,0.4381,446958480,0.008351
91,0.7344,0.4390,446958480,0.008334
92,0.7451,0.4400,446958480,0.008318
93,0.7397,0.4282,446958480,0.008301
94,0.7375,0.4165,446958480,0.008285
95,0.7391,0.4357,446958480,0.008268
96,0.7412,0.3604,446958480,0.008251
97,0.7451,0.3915,446958480,0.008235
98,0.7471,0.4050,446958480,0.008219
99,0.7480,0.4163,446958480,0.008202
100,0.7496,0.4083,446958480,0.008186
101,0.7519,0.3966,446958480,0.008169
102,0.7556,0.4079,446958480,0.008153
103,0.7588,0.4053,446958480,0.008137
104,0.7529,0.3770,446958480,0.008120
105,0.7532,0.3744,446958480,0.008104
106,0.7619,0.3667,446958480,0.008088
107,0.7562,0.3828,446958480,0.008072
108,0.7604,0.3605,446958480,0.008056
109,0.7706,0.3957,446958480,0.008039
110,0.7706,0.3633,446958480,0.008023
111,0.7652,0.3348,446958480,0.008007
112,0.7682,0.3543,446958480,0.007991
113,0.7630,0.3558,446958480,0.007975
114,0.7695,0.3218,446958480,0.007959
115,0.7673,0.3228,446958480,0.007944
116,0.7664,0.3360,446958480,0.007928
117,0.7650,0.3418,446958480,0.007912
118,0.7691,0.3062,446958480,0.007896
119,0.7737,0.3158,446958480,0.007880
120,0.7734,0.3049,446958480,0.007864
121,0.7734,0.3024,446958480,0.007849
122,0.7716,0.3167,446958480,0.007833
123,0.7776,0.2900,446958480,0.007817
