round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1737,1.0546,446958480,0.010000
1,0.1270,1.5563,446958480,0.009980
2,0.1141,1.0904,446958480,0.009960
3,0.1912,1.3492,446958480,0.009940
4,0.1970,1.1824,446958480,0.009920
5,0.1000,1.2139,446958480,0.009900
6,0.1654,0.9831,446958480,0.009881
7,0.2274,1.1287,446958480,0.009861
8,0.2316,0.9524,446958480,0.009841
9,0.2229,0.8500,446958480,0.009821
10,0.2380,0.8935,446958480,0.009802
11,0.2314,1.0214,446958480,0.009782
12,0.1906,0.6754,446958480,0.009763
13,0.1836,0.8778,446958480,0.009743
14,0.2122,1.1511,446958480,0.009724
15,0.2102,1.0395,446958480,0.009704
16,0.2234,1.0347,446958480,0.009685
17,0.3083,0.8720,446958480,0.009665
18,0.2459,1.1075,446958480,0.009646
19,0.2799,0.8755,446958480,0.009627
20,0.2741,0.6652,446958480,0.009608
21,0.3175,0.7358,446958480,0.009588
22,0.1559,0.7086,446958480,0.009569
23,0.2811,0.5240,446958480,0.009550
24,0.2796,0.8255,446958480,0.009531
25,0.3318,0.7093,446958480,0.009512
26,0.3429,0.7847,446958480,0.009493
27,0.3216,0.8740,446958480,0.009474
28,0.3064,1.3751,446958480,0.009455
29,0.3228,0.7071,446958480,0.009436
30,0.2881,0.7338,446958480,0.009417
31,0.2931,0.7847,446958480,0.009398
32,0.4038,0.5998,446958480,0.009379
33,0.3400,0.4980,446958480,0.009361
34,0.3412,0.6344,446958480,0.009342
35,0.2720,0.6370,446958480,0.009323
36,0.2277,0.7747,446958480,0.009305
37,0.2807,0.6288,446958480,0.009286
38,0.3548,1.1197,446958480,0.009267
39,0.2233,0.6989,446958480,0.009249
40,0.3307,0.7200,446958480,0.009230
41,0.2963,0.6113,446958480,0.009212
42,0.3261,0.7413,446958480,0.009194
43,0.4236,0.8914,446958480,0.009175
44,0.3437,0.6810,446958480,0.009157
45,0.3360,0.5317,446958480,0.009138
46,0.2659,0.7246,446958480,0.009120
47,0.3589,0.6925,446958480,0.009102
48,0.4255,0.5989,446958480,0.009084
49,0.3394,0.6265,446958480,0.009066
50,0.4197,0.6630,446958480,0.009047
51,0.4082,0.8105,446958480,0.009029
52,0.3795,0.7173,446958480,0.009011
53,0.2827,0.7440,446958480,0.008993
54,0.3417,0.9228,446958480,0.008975
55,0.5014,0.5558,446958480,0.008957
56,0.4475,0.3916,446958480,0.008939
57,0.4654,0.9014,446958480,0.008922
58,0.4433,0.5651,446958480,0.008904
59,0.4562,0.5723,446958480,0.008886
60,0.4732,0.6636,446958480,0.008868
61,0.4745,0.8334,446958480,0.008850
62,0.5048,0.5599,446958480,0.008833
63,0.4990,0.6051,446958480,0.008815
64,0.4976,0.5997,446958480,0.008797
65,0.4210,0.5231,446958480,0.008780
66,0.4014,0.4960,446958480,0.008762
67,0.4353,0.4985,446958480,0.008745
68,0.3833,0.6156,446958480,0.008727
69,0.4713,1.0092,446958480,0.008710
70,0.5043,0.5937,446958480,0.008692
71,0.3479,0.7274,446958480,0.008675
72,0.4237,0.5904,446958480,0.008658
73,0.5664,0.7081,446958480,0.008640
74,0.3343,1.2211,446958480,0.008623
75,0.5595,0.5864,446958480,0.008606
76,0.3399,0.7025,446958480,0.008589
77,0.5181,1.2410,446958480,0.008571
78,0.5806,0.5068,446958480,0.008554
79,0.4246,0.5317,446958480,0.008537
80,0.4833,0.9347,446958480,0.008520
81,0.4589,0.6100,446958480,0.008503
82,0.5146,0.6402,446958480,0.008486
83,0.4638,1.4272,446958480,0.008469
84,0.5743,0.5738,446958480,0.008452
85,0.5753,0.5971,446958480,0.008435
86,0.5449,0.4708,446958480,0.008418
87,0.4999,0.7719,446958480,0.008402
88,0.4736,0.5668,446958480,0.008385
89,0.6055,0.5451,446958480,0.008368
90,0.4667,0.5620,446958480,0.008351
91,0.5280,0.6382,446958480,0.008334
92,0.5336,0.6644,446958480,0.008318
93,0.5905,0.7897,446958480,0.008301
94,0.3488,0.4624,446958480,0.008285
95,0.2912,1.8100,446958480,0.008268
96,0.5553,0.5981,446958480,0.008251
97,0.4504,0.7423,446958480,0.008235
98,0.5160,0.6539,446958480,0.008219
99,0.5914,0.4875,446958480,0.008202
100,0.5266,0.9300,446958480,0.008186
101,0.5304,0.5341,446958480,0.008169
102,0.4837,0.4443,446958480,0.008153
103,0.4682,0.5116,446958480,0.008137
