round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1853,1.0585,446958480,0.010000
1,0.1021,2.1495,446958480,0.009980
2,0.1800,0.9611,446958480,0.009960
3,0.2114,1.2364,446958480,0.009940
4,0.2079,0.9034,446958480,0.009920
5,0.1002,1.2368,446958480,0.009900
6,0.1497,0.9913,446958480,0.009881
7,0.2264,1.1348,446958480,0.009861
8,0.2347,1.1765,446958480,0.009841
9,0.2364,0.9895,446958480,0.009821
10,0.2225,1.1002,446958480,0.009802
11,0.2276,1.0235,446958480,0.009782
12,0.1832,0.7410,446958480,0.009763
13,0.2253,0.8672,446958480,0.009743
14,0.1899,1.0094,446958480,0.009724
15,0.1844,0.9656,446958480,0.009704
16,0.2195,0.8758,446958480,0.009685
17,0.2941,0.9261,446958480,0.009665
18,0.2223,1.2884,446958480,0.009646
19,0.2650,1.2685,446958480,0.009627
20,0.3193,0.7108,446958480,0.009608
21,0.3236,0.8885,446958480,0.009588
22,0.1963,0.9300,446958480,0.009569
23,0.3049,0.6043,446958480,0.009550
24,0.2678,1.2359,446958480,0.009531
25,0.3878,0.8018,446958480,0.009512
26,0.2858,0.9280,446958480,0.009493
27,0.3447,0.8972,446958480,0.009474
28,0.3215,1.8545,446958480,0.009455
29,0.3371,0.8360,446958480,0.009436
30,0.2987,0.7758,446958480,0.009417
31,0.3656,0.8288,446958480,0.009398
32,0.4263,0.6234,446958480,0.009379
33,0.3494,0.6791,446958480,0.009361
34,0.3344,0.6962,446958480,0.009342
35,0.3118,0.7624,446958480,0.009323
36,0.2565,0.8050,446958480,0.009305
37,0.2971,0.5717,446958480,0.009286
38,0.4314,0.8159,446958480,0.009267
39,0.2654,1.0160,446958480,0.009249
40,0.3126,0.8944,446958480,0.009230
41,0.3143,0.7203,446958480,0.009212
42,0.3378,0.8395,446958480,0.009194
43,0.3931,1.1277,446958480,0.009175
44,0.2828,0.7886,446958480,0.009157
45,0.2977,0.9325,446958480,0.009138
46,0.4020,0.7133,446958480,0.009120
47,0.4308,0.8879,446958480,0.009102
48,0.3984,0.7277,446958480,0.009084
49,0.3229,0.8318,446958480,0.009066
50,0.4332,0.8496,446958480,0.009047
51,0.3444,0.7775,446958480,0.009029
52,0.3364,0.8457,446958480,0.009011
53,0.3666,0.7832,446958480,0.008993
54,0.2683,0.8798,446958480,0.008975
55,0.4809,0.6793,446958480,0.008957
56,0.4392,0.4643,446958480,0.008939
57,0.5088,1.2750,446958480,0.008922
58,0.4573,0.7939,446958480,0.008904
59,0.4561,0.5445,446958480,0.008886
60,0.5205,0.7051,446958480,0.008868
61,0.5234,0.9739,446958480,0.008850
62,0.5612,0.5956,446958480,0.008833
63,0.5078,0.4514,446958480,0.008815
64,0.5112,0.6025,446958480,0.008797
65,0.4957,0.6315,446958480,0.008780
66,0.4147,0.4689,446958480,0.008762
67,0.4517,0.5453,446958480,0.008745
68,0.4034,0.6634,446958480,0.008727
69,0.4644,0.9408,446958480,0.008710
70,0.4986,0.6378,446958480,0.008692
71,0.3622,1.0748,446958480,0.008675
