round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1144,1.0353,446958480,0.010000
1,0.1679,1.5185,446958480,0.009980
2,0.2038,1.1741,446958480,0.009960
3,0.1473,1.4542,446958480,0.009940
4,0.1084,1.4022,446958480,0.009920
5,0.1000,1.2405,446958480,0.009900
6,0.1524,1.0517,446958480,0.009881
7,0.2175,1.2172,446958480,0.009861
8,0.2504,0.8616,446958480,0.009841
9,0.1937,0.7937,446958480,0.009821
10,0.2018,0.9301,446958480,0.009802
11,0.1781,1.0226,446958480,0.009782
12,0.1469,0.7274,446958480,0.009763
13,0.1147,0.9748,446958480,0.009743
14,0.2012,1.1282,446958480,0.009724
15,0.2925,0.9732,446958480,0.009704
16,0.2139,1.2352,446958480,0.009685
17,0.3373,0.9126,446958480,0.009665
18,0.2371,1.3640,446958480,0.009646
19,0.2924,1.1334,446958480,0.009627
20,0.2198,0.7338,446958480,0.009608
21,0.3143,0.9781,446958480,0.009588
22,0.2098,0.9150,446958480,0.009569
23,0.2271,0.7937,446958480,0.009550
24,0.2503,0.9157,446958480,0.009531
25,0.3603,0.8154,446958480,0.009512
26,0.2732,1.0806,446958480,0.009493
27,0.3350,0.9832,446958480,0.009474
28,0.3536,0.9048,446958480,0.009455
29,0.3018,0.7824,446958480,0.009436
30,0.2893,0.6825,446958480,0.009417
31,0.3190,0.9116,446958480,0.009398
32,0.3471,0.7461,446958480,0.009379
33,0.3226,0.7435,446958480,0.009361
34,0.4117,0.7150,446958480,0.009342
35,0.1108,1.4734,446958480,0.009323
36,0.2302,1.0444,446958480,0.009305
37,0.2180,1.0950,446958480,0.009286
38,0.4210,0.9670,446958480,0.009267
39,0.3982,1.1293,446958480,0.009249
40,0.3409,1.3944,446958480,0.009230
41,0.3193,0.6522,446958480,0.009212
42,0.2484,1.0811,446958480,0.009194
43,0.3670,1.1245,446958480,0.009175
44,0.3487,0.7994,446958480,0.009157
45,0.3948,0.6861,446958480,0.009138
46,0.3832,0.7743,446958480,0.009120
47,0.4019,0.6999,446958480,0.009102
48,0.4217,0.5860,446958480,0.009084
