round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1786,1.0364,446958480,0.010000
1,0.1207,1.4830,446958480,0.009980
2,0.2112,0.9486,446958480,0.009960
3,0.1991,1.2011,446958480,0.009940
4,0.1853,1.4239,446958480,0.009920
5,0.1000,1.3789,446958480,0.009900
6,0.1032,1.0712,446958480,0.009881
7,0.2082,1.0795,446958480,0.009861
8,0.1901,0.9300,446958480,0.009841
9,0.2059,0.8143,446958480,0.009821
10,0.2242,1.2001,446958480,0.009802
11,0.2177,1.0801,446958480,0.009782
12,0.2304,0.7484,446958480,0.009763
13,0.2204,0.7543,446958480,0.009743
14,0.2189,1.0465,446958480,0.009724
15,0.2267,1.1259,446958480,0.009704
16,0.2211,0.9652,446958480,0.009685
17,0.3185,0.9247,446958480,0.009665
18,0.2553,1.8956,446958480,0.009646
19,0.2740,1.0239,446958480,0.009627
20,0.2636,1.0189,446958480,0.009608
21,0.3129,0.9940,446958480,0.009588
22,0.2387,1.1659,446958480,0.009569
23,0.2868,0.6622,446958480,0.009550
24,0.2628,0.9266,446958480,0.009531
25,0.3648,0.7394,446958480,0.009512
26,0.2807,1.1895,446958480,0.009493
27,0.3330,1.7035,446958480,0.009474
28,0.3113,0.6363,446958480,0.009455
29,0.3140,0.8536,446958480,0.009436
30,0.2881,0.6896,446958480,0.009417
31,0.3595,0.8171,446958480,0.009398
32,0.4064,0.6062,446958480,0.009379
33,0.3403,0.7100,446958480,0.009361
34,0.3674,0.7878,446958480,0.009342
35,0.2472,1.0272,446958480,0.009323
36,0.2610,0.8618,446958480,0.009305
37,0.2805,0.6338,446958480,0.009286
38,0.3688,1.0199,446958480,0.009267
39,0.3022,0.6930,446958480,0.009249
40,0.2739,0.8214,446958480,0.009230
41,0.2843,0.7270,446958480,0.009212
42,0.3360,0.8251,446958480,0.009194
43,0.3933,0.8861,446958480,0.009175
44,0.3503,0.7114,446958480,0.009157
45,0.3366,0.7886,446958480,0.009138
46,0.3970,0.5617,446958480,0.009120
47,0.3476,0.6121,446958480,0.009102
48,0.4228,0.8035,446958480,0.009084
49,0.3890,0.6719,446958480,0.009066
50,0.3964,0.8581,446958480,0.009047
51,0.3654,0.6002,446958480,0.009029
52,0.3284,1.0228,446958480,0.009011
53,0.3218,0.7449,446958480,0.008993
54,0.3099,0.9009,446958480,0.008975
55,0.5112,0.6146,446958480,0.008957
56,0.4450,0.3815,446958480,0.008939
57,0.4731,0.8685,446958480,0.008922
58,0.4722,0.5840,446958480,0.008904
59,0.4488,0.5658,446958480,0.008886
60,0.5266,0.4541,446958480,0.008868
61,0.5085,0.8974,446958480,0.008850
62,0.4854,0.4765,446958480,0.008833
63,0.5151,0.5279,446958480,0.008815
64,0.4993,0.5544,446958480,0.008797
65,0.4464,0.6303,446958480,0.008780
66,0.4226,0.4573,446958480,0.008762
67,0.5240,0.4532,446958480,0.008745
68,0.3496,0.4717,446958480,0.008727
69,0.5178,0.8927,446958480,0.008710
70,0.4469,0.5811,446958480,0.008692
71,0.3784,0.8054,446958480,0.008675
72,0.4231,0.6857,446958480,0.008658
73,0.5457,0.8657,446958480,0.008640
74,0.2755,1.2192,446958480,0.008623
75,0.4873,0.6542,446958480,0.008606
76,0.2873,1.0457,446958480,0.008589
77,0.5270,0.8837,446958480,0.008571
78,0.5734,0.5882,446958480,0.008554
