round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1755,1.0544,446958480,0.010000
1,0.1253,1.5679,446958480,0.009980
2,0.2092,0.9242,446958480,0.009960
3,0.1665,1.3472,446958480,0.009940
4,0.1840,2.0679,446958480,0.009920
5,0.1000,1.6681,446958480,0.009900
6,0.1775,1.2594,446958480,0.009881
7,0.1059,2.0069,446958480,0.009861
8,0.2581,1.0880,446958480,0.009841
9,0.2383,0.9635,446958480,0.009821
10,0.2200,0.9457,446958480,0.009802
11,0.2240,1.3673,446958480,0.009782
12,0.1880,0.8749,446958480,0.009763
13,0.2067,1.0669,446958480,0.009743
14,0.1947,1.1871,446958480,0.009724
15,0.2194,1.1048,446958480,0.009704
16,0.2019,1.5392,446958480,0.009685
17,0.3118,1.2210,446958480,0.009665
18,0.2029,1.8941,446958480,0.009646
19,0.2329,1.5267,446958480,0.009627
20,0.2256,1.1887,446958480,0.009608
21,0.3137,1.2227,446958480,0.009588
22,0.2222,0.9242,446958480,0.009569
23,0.3019,0.7115,446958480,0.009550
24,0.1986,1.6910,446958480,0.009531
25,0.3721,0.9525,446958480,0.009512
26,0.2933,1.6376,446958480,0.009493
27,0.3050,1.3505,446958480,0.009474
28,0.3277,0.9796,446958480,0.009455
29,0.3603,0.8411,446958480,0.009436
30,0.2907,0.7723,446958480,0.009417
31,0.2699,1.0543,446958480,0.009398
32,0.3146,0.8867,446958480,0.009379
33,0.3454,0.7432,446958480,0.009361
34,0.3020,0.8537,446958480,0.009342
35,0.2353,0.8429,446958480,0.009323
36,0.2232,0.9977,446958480,0.009305
37,0.2822,0.6541,446958480,0.009286
38,0.4122,0.9320,446958480,0.009267
39,0.2787,0.7041,446958480,0.009249
40,0.2807,0.7345,446958480,0.009230
41,0.3331,0.6505,446958480,0.009212
42,0.3391,0.7644,446958480,0.009194
43,0.3582,1.3520,446958480,0.009175
44,0.2958,0.9221,446958480,0.009157
45,0.4261,0.7560,446958480,0.009138
46,0.3326,0.5603,446958480,0.009120
47,0.3780,0.7519,446958480,0.009102
48,0.4074,0.8635,446958480,0.009084
49,0.4258,0.5755,446958480,0.009066
50,0.4186,0.9611,446958480,0.009047
51,0.3957,0.6170,446958480,0.009029
52,0.4201,0.9122,446958480,0.009011
53,0.3361,0.6806,446958480,0.008993
54,0.3603,0.9470,446958480,0.008975
55,0.4820,0.7749,446958480,0.008957
56,0.4459,0.4441,446958480,0.008939
57,0.4791,0.9234,446958480,0.008922
