round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1829,1.0611,446958480,0.010000
1,0.1722,1.5068,446958480,0.009980
2,0.1493,0.9162,446958480,0.009960
3,0.1678,1.1281,446958480,0.009940
4,0.1686,0.9462,446958480,0.009920
5,0.1728,1.1092,446958480,0.009900
6,0.1442,1.1665,446958480,0.009881
7,0.2208,0.9848,446958480,0.009861
8,0.2035,1.0158,446958480,0.009841
9,0.2417,0.7929,446958480,0.009821
10,0.2359,0.8232,446958480,0.009802
11,0.2197,1.1189,446958480,0.009782
12,0.1700,0.8699,446958480,0.009763
13,0.1965,0.9155,446958480,0.009743
14,0.1797,0.9583,446958480,0.009724
15,0.2203,0.9109,446958480,0.009704
16,0.1981,0.9029,446958480,0.009685
17,0.2955,0.8818,446958480,0.009665
18,0.1973,0.9313,446958480,0.009646
19,0.2992,1.0146,446958480,0.009627
20,0.3197,0.7643,446958480,0.009608
21,0.3379,0.7745,446958480,0.009588
22,0.2297,1.0463,446958480,0.009569
23,0.3027,0.6380,446958480,0.009550
24,0.2839,0.9572,446958480,0.009531
25,0.4056,0.6604,446958480,0.009512
26,0.2829,0.9516,446958480,0.009493
27,0.3148,0.8734,446958480,0.009474
28,0.3453,0.6896,446958480,0.009455
29,0.3084,0.7011,446958480,0.009436
30,0.2955,0.6603,446958480,0.009417
31,0.3418,0.7922,446958480,0.009398
32,0.4243,0.5277,446958480,0.009379
33,0.3518,0.5673,446958480,0.009361
34,0.3200,0.8363,446958480,0.009342
35,0.2767,0.7822,446958480,0.009323
36,0.2288,0.7905,446958480,0.009305
37,0.2643,0.5007,446958480,0.009286
38,0.4509,0.8074,446958480,0.009267
39,0.2983,0.5619,446958480,0.009249
40,0.3220,0.7446,446958480,0.009230
41,0.3601,0.5402,446958480,0.009212
42,0.3556,0.6767,446958480,0.009194
43,0.4308,0.8809,446958480,0.009175
44,0.3537,0.8348,446958480,0.009157
45,0.2881,0.9915,446958480,0.009138
46,0.1910,0.7364,446958480,0.009120
47,0.3024,1.0312,446958480,0.009102
48,0.4287,0.6468,446958480,0.009084
49,0.3704,0.6816,446958480,0.009066
50,0.4028,0.8881,446958480,0.009047
51,0.4117,0.8610,446958480,0.009029
52,0.3674,1.0415,446958480,0.009011
53,0.2925,0.6336,446958480,0.008993
54,0.3254,0.9441,446958480,0.008975
55,0.5171,0.7045,446958480,0.008957
56,0.4732,0.3994,446958480,0.008939
57,0.4702,0.9925,446958480,0.008922
58,0.4497,0.6678,446958480,0.008904
59,0.4902,0.4671,446958480,0.008886
60,0.5351,0.5040,446958480,0.008868
61,0.4745,0.9013,446958480,0.008850
62,0.5141,0.5572,446958480,0.008833
63,0.5006,0.6803,446958480,0.008815
64,0.4800,0.6577,446958480,0.008797
65,0.4369,0.6237,446958480,0.008780
66,0.4041,0.4751,446958480,0.008762
67,0.4375,0.5197,446958480,0.008745
68,0.4024,0.4913,446958480,0.008727
69,0.4489,0.9993,446958480,0.008710
70,0.4582,0.5902,446958480,0.008692
71,0.3355,0.7131,446958480,0.008675
72,0.4626,0.6123,446958480,0.008658
73,0.4988,0.8406,446958480,0.008640
74,0.3534,1.0269,446958480,0.008623
75,0.5701,0.4820,446958480,0.008606
76,0.3338,0.7338,446958480,0.008589
77,0.5488,1.0184,446958480,0.008571
78,0.5866,0.5601,446958480,0.008554
79,0.5116,0.4638,446958480,0.008537
80,0.5152,0.7993,446958480,0.008520
81,0.4680,0.6256,446958480,0.008503
82,0.5255,0.7230,446958480,0.008486
83,0.4955,0.8136,446958480,0.008469
84,0.5794,0.4934,446958480,0.008452
85,0.5971,0.4718,446958480,0.008435
86,0.5932,0.5267,446958480,0.008418
87,0.5000,0.6479,446958480,0.008402
88,0.4422,0.5567,446958480,0.008385
89,0.6107,0.6260,446958480,0.008368
90,0.5694,0.6064,446958480,0.008351
91,0.5181,0.7216,446958480,0.008334
92,0.5278,0.5335,446958480,0.008318
93,0.5572,0.7489,446958480,0.008301
94,0.3901,0.4395,446958480,0.008285
95,0.3414,1.6511,446958480,0.008268
96,0.5075,0.6347,446958480,0.008251
97,0.5194,0.5995,446958480,0.008235
98,0.6832,0.6793,446958480,0.008219
99,0.5888,0.5636,446958480,0.008202
100,0.5054,0.9489,446958480,0.008186
101,0.6093,0.4711,446958480,0.008169
102,0.5466,0.5715,446958480,0.008153
103,0.4445,0.5365,446958480,0.008137
104,0.4029,0.6232,446958480,0.008120
105,0.5624,0.6989,446958480,0.008104
106,0.5046,0.6074,446958480,0.008088
107,0.5746,0.6607,446958480,0.008072
108,0.5449,0.5863,446958480,0.008056
109,0.6203,0.4054,446958480,0.008039
110,0.6104,0.5776,446958480,0.008023
111,0.6535,0.4864,446958480,0.008007
112,0.6278,0.4374,446958480,0.007991
113,0.5449,0.4460,446958480,0.007975
114,0.6166,0.5822,446958480,0.007959
115,0.6393,0.3382,446958480,0.007944
116,0.4618,0.3806,446958480,0.007928
117,0.5544,0.6948,446958480,0.007912
118,0.5720,0.8538,446958480,0.007896
119,0.3877,0.6212,446958480,0.007880
120,0.5676,0.3796,446958480,0.007864
121,0.6223,0.7135,446958480,0.007849
122,0.6423,0.5885,446958480,0.007833
123,0.6070,0.4370,446958480,0.007817
124,0.4660,0.6488,446958480,0.007802
125,0.5203,0.6811,446958480,0.007786
126,0.6054,0.4242,446958480,0.007770
127,0.6372,0.4527,446958480,0.007755
128,0.6957,0.4411,446958480,0.007739
129,0.6104,0.3039,446958480,0.007724
130,0.5630,0.6362,446958480,0.007709
131,0.6229,0.6662,446958480,0.007693
132,0.6340,0.5276,446958480,0.007678
133,0.5073,0.4363,446958480,0.007662
134,0.5742,0.5017,446958480,0.007647
135,0.5683,0.5096,446958480,0.007632
136,0.5971,0.2890,446958480,0.007616
137,0.4651,0.5737,446958480,0.007601
138,0.7010,0.4556,446958480,0.007586
139,0.6986,0.4698,446958480,0.007571
140,0.6256,0.3566,446958480,0.007556
141,0.5708,0.2698,446958480,0.007541
142,0.6692,0.3132,446958480,0.007526
143,0.5233,0.3113,446958480,0.007510
144,0.6657,0.6372,446958480,0.007495
145,0.6043,0.3519,446958480,0.007480
146,0.6644,0.7504,446958480,0.007466
147,0.5604,0.4246,446958480,0.007451
148,0.6094,0.5019,446958480,0.007436
149,0.6583,0.9375,446958480,0.007421
150,0.7000,0.5996,446958480,0.007406
151,0.6296,0.5024,446958480,0.007391
152,0.5725,0.3467,446958480,0.007376
153,0.6122,0.5441,446958480,0.007362
154,0.6309,0.3213,446958480,0.007347
155,0.6991,0.4275,446958480,0.007332
156,0.6623,0.4200,446958480,0.007318
157,0.5613,0.3879,446958480,0.007303
158,0.7220,0.2906,446958480,0.007288
159,0.6360,0.5550,446958480,0.007274
160,0.6208,0.2693,446958480,0.007259
161,0.6325,0.3540,446958480,0.007245
