round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.2648,2.2003,446958480,0.010000
1,0.3426,1.9581,446958480,0.009980
2,0.3755,1.7515,446958480,0.009960
3,0.3985,1.7652,446958480,0.009940
4,0.4305,1.5927,446958480,0.009920
5,0.4527,1.6089,446958480,0.009900
6,0.4723,1.4605,446958480,0.009881
7,0.4890,1.3934,446958480,0.009861
8,0.4918,1.3992,446958480,0.009841
9,0.5075,1.3612,446958480,0.009821
10,0.5454,1.2104,446958480,0.009802
11,0.5460,1.1839,446958480,0.009782
12,0.5616,1.1213,446958480,0.009763
13,0.5793,1.1400,446958480,0.009743
14,0.5875,1.0510,446958480,0.009724
15,0.5907,1.1430,446958480,0.009704
16,0.6140,0.9634,446958480,0.009685
17,0.6126,1.0197,446958480,0.009665
18,0.6265,0.8566,446958480,0.009646
19,0.6369,0.9743,446958480,0.009627
20,0.6476,0.8396,446958480,0.009608
21,0.6516,0.8310,446958480,0.009588
22,0.6523,0.7713,446958480,0.009569
23,0.6524,0.8755,446958480,0.009550
24,0.6519,0.7740,446958480,0.009531
25,0.6731,0.7614,446958480,0.009512
26,0.6691,0.7256,446958480,0.009493
27,0.6841,0.7372,446958480,0.009474
28,0.6871,0.6893,446958480,0.009455
29,0.6974,0.6938,446958480,0.009436
30,0.6949,0.7426,446958480,0.009417
31,0.7102,0.6062,446958480,0.009398
32,0.7077,0.7785,446958480,0.009379
33,0.7146,0.6334,446958480,0.009361
34,0.7201,0.5898,446958480,0.009342
35,0.7186,0.6338,446958480,0.009323
36,0.7278,0.5900,446958480,0.009305
37,0.7382,0.5427,446958480,0.009286
38,0.7291,0.5986,446958480,0.009267
39,0.7410,0.5748,446958480,0.009249
40,0.7444,0.5207,446958480,0.009230
41,0.7403,0.6267,446958480,0.009212
42,0.7424,0.5028,446958480,0.009194
43,0.7453,0.5085,446958480,0.009175
44,0.7568,0.5390,446958480,0.009157
45,0.7618,0.5005,446958480,0.009138
46,0.7653,0.5199,446958480,0.009120
47,0.7698,0.4134,446958480,0.009102
48,0.7618,0.5076,446958480,0.009084
49,0.7734,0.4254,446958480,0.009066
50,0.7766,0.4410,446958480,0.009047
51,0.7806,0.4116,446958480,0.009029
52,0.7803,0.3966,446958480,0.009011
53,0.7810,0.3667,446958480,0.008993
54,0.7799,0.4602,446958480,0.008975
55,0.7856,0.3774,446958480,0.008957
56,0.7879,0.3981,446958480,0.008939
57,0.7850,0.3758,446958480,0.008922
58,0.7940,0.3984,446958480,0.008904
59,0.7859,0.3666,446958480,0.008886
60,0.7953,0.3751,446958480,0.008868
61,0.7976,0.3791,446958480,0.008850
62,0.8004,0.3262,446958480,0.008833
63,0.8053,0.3333,446958480,0.008815
64,0.7939,0.3857,446958480,0.008797
65,0.8090,0.3312,446958480,0.008780
66,0.8094,0.3037,446958480,0.008762
67,0.8122,0.3582,446958480,0.008745
68,0.8023,0.3252,446958480,0.008727
69,0.8065,0.3194,446958480,0.008710
70,0.8096,0.3320,446958480,0.008692
71,0.8152,0.3049,446958480,0.008675
72,0.8147,0.3759,446958480,0.008658
73,0.8083,0.3501,446958480,0.008640
74,0.8198,0.2567,446958480,0.008623
75,0.8190,0.2569,446958480,0.008606
76,0.8201,0.2820,446958480,0.008589
77,0.8161,0.2887,446958480,0.008571
78,0.8158,0.3200,446958480,0.008554
79,0.8193,0.3219,446958480,0.008537
80,0.8227,0.2823,446958480,0.008520
81,0.8225,0.3097,446958480,0.008503
82,0.8257,0.2951,446958480,0.008486
83,0.8266,0.2626,446958480,0.008469
84,0.8232,0.2572,446958480,0.008452
85,0.8285,0.2369,446958480,0.008435
