round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.1864,1.0621,446958480,0.010000,0,7,1,0,2,0.8018,1.2876,1,used,1,1
1,0.1280,1.5979,446958480,0.009980,3,0,1,2,4,1.2799,1.2876,4,interp1,1,1
2,0.1189,1.0480,446958480,0.009960,0,8,2,0,0,0.5004,1.2876,1,used,1,1
3,0.1531,1.6485,446958480,0.009940,2,3,1,2,2,1.5571,1.2876,1,used,1,0
4,0.2160,1.2121,446958480,0.009920,0,9,0,1,0,0.3251,1.2876,1,used,1,1
5,0.1002,1.2633,446958480,0.009900,1,0,9,0,0,0.3251,1.2876,2,topk,1,1
6,0.1671,1.2789,446958480,0.009881,3,0,0,6,1,0.8979,1.2876,3,interp0,1,1
7,0.2249,1.2893,446958480,0.009861,2,0,0,8,0,0.5004,1.2876,3,interp0,1,1
8,0.2544,0.9256,446958480,0.009841,5,0,0,4,1,0.9433,1.2876,0,stab,1,1
9,0.2190,0.8733,446958480,0.009821,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
10,0.2450,0.8427,446958480,0.009802,3,0,7,0,0,0.6109,1.2876,2,topk,1,1
11,0.2313,1.0708,446958480,0.009782,5,0,3,2,0,1.0297,1.2876,0,stab,1,1
12,0.1927,0.7305,446958480,0.009763,1,0,0,2,7,0.8018,1.2876,4,interp1,1,1
13,0.2158,0.9658,446958480,0.009743,2,1,6,0,1,1.0889,1.2876,2,topk,1,1
14,0.2322,1.0864,446958480,0.009724,0,10,0,0,0,0.0000,1.2876,1,used,1,1
15,0.2190,0.9644,446958480,0.009704,4,2,1,3,0,1.2799,1.2876,0,stab,1,1
16,0.2235,0.9746,446958480,0.009685,0,1,1,8,0,0.6390,1.2876,3,interp0,1,1
17,0.2858,0.9751,446958480,0.009665,3,1,4,2,0,1.2799,1.2876,2,topk,1,1
18,0.2349,1.1792,446958480,0.009646,0,7,2,1,0,0.8018,1.2876,1,used,1,1
19,0.2804,1.0286,446958480,0.009627,2,7,1,0,0,0.8018,1.2876,1,used,1,1
20,0.3047,0.7108,446958480,0.009608,2,8,0,0,0,0.5004,1.2876,1,used,1,1
21,0.3289,0.8269,446958480,0.009588,6,0,3,0,1,0.8979,1.2876,0,stab,1,1
22,0.1785,0.7084,446958480,0.009569,6,1,1,1,1,1.2275,1.2876,0,stab,1,1
23,0.3049,0.6033,446958480,0.009550,0,2,0,7,1,0.8018,1.2876,3,interp0,1,1
24,0.2464,0.7260,446958480,0.009531,0,9,0,1,0,0.3251,1.2876,1,used,1,1
25,0.3507,0.7130,446958480,0.009512,1,6,1,2,0,1.0889,1.2876,1,used,1,1
26,0.2584,0.8812,446958480,0.009493,8,0,0,0,2,0.5004,1.2876,0,stab,1,1
27,0.3243,0.8600,446958480,0.009474,1,5,1,0,3,1.1683,1.2876,1,used,1,1
28,0.3108,1.1563,446958480,0.009455,0,9,1,0,0,0.3251,1.2876,1,used,1,1
29,0.3161,0.8363,446958480,0.009436,6,0,4,0,0,0.6730,1.2876,0,stab,1,1
30,0.3012,0.7705,446958480,0.009417,0,4,0,4,2,1.0549,1.2876,1,used,1,1
31,0.3428,0.8285,446958480,0.009398,2,3,3,0,2,1.3662,1.2876,1,used,1,0
32,0.4216,0.5652,446958480,0.009379,6,1,0,2,1,1.0889,1.2876,0,stab,1,1
33,0.3531,0.5845,446958480,0.009361,6,0,3,1,0,0.8979,1.2876,0,stab,1,1
34,0.3091,0.7996,446958480,0.009342,0,0,4,0,6,0.6730,1.2876,4,interp1,1,1
35,0.2760,0.8269,446958480,0.009323,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
36,0.2225,1.0548,446958480,0.009305,0,0,1,9,0,0.3251,1.2876,3,interp0,1,1
37,0.2667,0.5826,446958480,0.009286,0,0,2,8,0,0.5004,1.2876,3,interp0,1,1
38,0.4026,0.9050,446958480,0.009267,6,1,2,1,0,1.0889,1.2876,0,stab,1,1
39,0.2591,0.6681,446958480,0.009249,3,6,1,0,0,0.8979,1.2876,1,used,1,1
40,0.2918,0.7703,446958480,0.009230,0,9,1,0,0,0.3251,1.2876,1,used,1,1
41,0.3075,0.5964,446958480,0.009212,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
42,0.3420,0.7717,446958480,0.009194,5,2,2,0,1,1.2206,1.2876,0,stab,1,1
43,0.4665,0.8150,446958480,0.009175,2,3,3,1,1,1.5048,1.2876,1,used,1,0
44,0.3547,0.6461,446958480,0.009157,4,1,0,0,5,0.9433,1.2876,4,interp1,1,1
45,0.3111,0.6283,446958480,0.009138,1,0,4,5,0,0.9433,1.2876,3,interp0,1,1
46,0.4516,0.6391,446958480,0.009120,0,1,9,0,0,0.3251,1.2876,2,topk,1,1
47,0.4311,0.7771,446958480,0.009102,0,1,8,0,1,0.6390,1.2876,2,topk,1,1
48,0.4086,0.6466,446958480,0.009084,3,2,4,0,1,1.2799,1.2876,2,topk,1,1
49,0.3199,0.7123,446958480,0.009066,8,1,0,0,1,0.6390,1.2876,0,stab,1,1
50,0.3979,0.7137,446958480,0.009047,3,1,1,4,1,1.4185,1.2876,3,interp0,1,0
51,0.3720,0.6583,446958480,0.009029,3,4,1,2,0,1.2799,1.2876,1,used,1,1
52,0.3557,0.8340,446958480,0.009011,1,1,1,6,1,1.2275,1.2876,3,interp0,1,1
53,0.2948,0.7932,446958480,0.008993,0,4,3,2,1,1.2799,1.2876,1,used,1,1
54,0.3000,0.8209,446958480,0.008975,0,5,3,0,2,1.0297,1.2876,1,used,1,1
55,0.5329,0.6974,446958480,0.008957,0,0,2,7,1,0.8018,1.2876,3,interp0,1,1
56,0.4116,0.4072,446958480,0.008939,4,0,3,0,3,1.0889,1.2876,0,stab,1,1
57,0.4626,0.8529,446958480,0.008922,10,0,0,0,0,0.0000,1.2876,0,stab,1,1
58,0.4260,0.5580,446958480,0.008904,2,2,2,1,3,1.5571,1.2876,4,interp1,1,0
59,0.4209,0.5298,446958480,0.008886,1,2,0,3,4,1.2799,1.2876,4,interp1,1,1
60,0.4721,0.8384,446958480,0.008868,1,0,3,2,4,1.2799,1.2876,4,interp1,1,1
61,0.4432,0.8277,446958480,0.008850,3,1,4,1,1,1.4185,1.2876,2,topk,1,0
62,0.5209,0.5790,446958480,0.008833,1,2,2,3,2,1.5571,1.2876,3,interp0,1,0
63,0.4401,0.6022,446958480,0.008815,0,6,2,0,2,0.9503,1.2876,1,used,1,1
64,0.4830,0.5716,446958480,0.008797,1,3,5,1,0,1.1683,1.2876,2,topk,1,1
65,0.4419,0.6035,446958480,0.008780,1,3,5,1,0,1.1683,1.2876,2,topk,1,1
66,0.3808,0.4693,446958480,0.008762,3,0,3,1,3,1.3138,1.2876,0,stab,1,0
67,0.4310,0.4379,446958480,0.008745,0,2,6,0,2,0.9503,1.2876,2,topk,1,1
68,0.3484,0.5571,446958480,0.008727,0,1,3,6,0,0.8979,1.2876,3,interp0,1,1
69,0.4578,0.6347,446958480,0.008710,0,2,0,2,6,0.9503,1.2876,4,interp1,1,1
70,0.5136,0.5197,446958480,0.008692,1,5,2,0,2,1.2206,1.2876,1,used,1,1
71,0.4019,0.5337,446958480,0.008675,0,6,1,3,0,0.8979,1.2876,1,used,1,1
72,0.3662,0.6179,446958480,0.008658,0,3,3,1,3,1.3138,1.2876,1,used,1,0
73,0.5453,0.7244,446958480,0.008640,0,8,0,2,0,0.5004,1.2876,1,used,1,1
74,0.2703,0.7892,446958480,0.008623,1,0,5,1,3,1.1683,1.2876,2,topk,1,1
75,0.4820,0.5861,446958480,0.008606,2,6,0,1,1,1.0889,1.2876,1,used,1,1
76,0.3246,0.8363,446958480,0.008589,1,0,5,3,1,1.1683,1.2876,2,topk,1,1
77,0.5498,0.9780,446958480,0.008571,1,0,0,2,7,0.8018,1.2876,4,interp1,1,1
78,0.5826,0.5867,446958480,0.008554,0,0,8,1,1,0.6390,1.2876,2,topk,1,1
