round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.1748,1.0419,446958480,0.010000,0,2,2,0,1,1,2,0,1,1,1.8867,1.8421,1,used,1,0
1,0.1704,1.4409,446958480,0.009980,0,0,4,0,0,0,0,4,0,2,1.0549,1.8421,2,topk,1,1
2,0.2204,0.9693,446958480,0.009960,4,1,0,0,2,0,1,2,0,0,1.4708,1.8421,0,stab,1,1
3,0.2147,1.1694,446958480,0.009940,0,2,0,2,0,0,6,0,0,0,0.9503,1.8421,6,interp3,1,1
4,0.2002,1.3811,446958480,0.009920,0,0,0,0,9,0,0,0,0,1,0.3251,1.8421,4,interp1,1,1
5,0.1001,1.2234,446958480,0.009900,0,0,0,0,0,0,9,0,0,1,0.3251,1.8421,6,interp3,1,1
6,0.1573,1.2827,446958480,0.009881,0,0,7,0,0,0,1,0,0,2,0.8018,1.8421,2,topk,1,1
7,0.2338,1.0689,446958480,0.009861,0,0,2,3,0,0,5,0,0,0,1.0297,1.8421,6,interp3,1,1
8,0.2487,0.8670,446958480,0.009841,6,0,0,3,0,0,0,1,0,0,0.8979,1.8421,0,stab,1,1
9,0.2024,0.7354,446958480,0.009821,5,0,2,0,1,0,0,1,0,1,1.3592,1.8421,0,stab,1,1
10,0.2607,0.8734,446958480,0.009802,8,0,0,0,2,0,0,0,0,0,0.5004,1.8421,0,stab,1,1
11,0.2451,1.0564,446958480,0.009782,7,0,3,0,0,0,0,0,0,0,0.6109,1.8421,0,stab,1,1
12,0.1852,0.7001,446958480,0.009763,2,0,1,0,2,0,5,0,0,0,1.2206,1.8421,6,interp3,1,1
13,0.2213,0.9319,446958480,0.009743,2,1,1,0,0,4,2,0,0,0,1.4708,1.8421,5,interp2,1,1
