round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.2657,2.1984,446958480,0.010000,0,1,2,3,4,1.2799,1.2876,4,interp1,1,1
1,0.3288,1.9677,446958480,0.009980,1,0,5,4,0,0.9433,1.2876,2,topk,1,1
2,0.3821,1.7613,446958480,0.009960,1,5,0,4,0,0.9433,1.2876,1,used,1,1
3,0.4194,1.7297,446958480,0.009940,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
4,0.4409,1.5640,446958480,0.009920,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
5,0.4434,1.6144,446958480,0.009900,0,0,0,5,5,0.6931,1.2876,3,interp0,1,1
6,0.4648,1.4778,446958480,0.009881,0,10,0,0,0,0.0000,1.2876,1,used,1,1
7,0.4948,1.3996,446958480,0.009861,3,5,2,0,0,1.0297,1.2876,1,used,1,1
8,0.4988,1.3850,446958480,0.009841,7,0,3,0,0,0.6109,1.2876,0,stab,1,1
9,0.5057,1.3555,446958480,0.009821,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
10,0.5349,1.2368,446958480,0.009802,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
11,0.5368,1.2396,446958480,0.009782,4,2,4,0,0,1.0549,1.2876,0,stab,1,1
12,0.5544,1.1346,446958480,0.009763,4,0,1,5,0,0.9433,1.2876,3,interp0,1,1
13,0.5708,1.1702,446958480,0.009743,1,0,7,2,0,0.8018,1.2876,2,topk,1,1
14,0.5802,1.0594,446958480,0.009724,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
15,0.5904,1.0610,446958480,0.009704,4,2,3,0,1,1.2799,1.2876,0,stab,1,1
16,0.6069,0.9715,446958480,0.009685,6,4,0,0,0,0.6730,1.2876,0,stab,1,1
17,0.6060,1.0006,446958480,0.009665,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
18,0.6211,0.8892,446958480,0.009646,7,1,2,0,0,0.8018,1.2876,0,stab,1,1
19,0.6338,0.9821,446958480,0.009627,8,0,2,0,0,0.5004,1.2876,0,stab,1,1
20,0.6452,0.8386,446958480,0.009608,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
21,0.6514,0.8466,446958480,0.009588,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
22,0.6537,0.7850,446958480,0.009569,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
23,0.6407,0.8956,446958480,0.009550,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
24,0.6459,0.7841,446958480,0.009531,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
25,0.6600,0.7730,446958480,0.009512,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
26,0.6562,0.7824,446958480,0.009493,4,4,2,0,0,1.0549,1.2876,0,stab,1,1
27,0.6715,0.7491,446958480,0.009474,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
28,0.6708,0.7435,446958480,0.009455,2,5,3,0,0,1.0297,1.2876,1,used,1,1
29,0.6848,0.7207,446958480,0.009436,0,5,0,0,5,0.6931,1.2876,1,used,1,1
30,0.6832,0.7384,446958480,0.009417,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
31,0.6942,0.6482,446958480,0.009398,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
32,0.6784,0.8307,446958480,0.009379,0,0,0,4,6,0.6730,1.2876,4,interp1,1,1
33,0.6966,0.7007,446958480,0.009361,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
34,0.7055,0.6279,446958480,0.009342,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
35,0.7061,0.7181,446958480,0.009323,0,1,0,9,0,0.3251,1.2876,3,interp0,1,1
36,0.7095,0.6188,446958480,0.009305,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
37,0.7209,0.6025,446958480,0.009286,5,3,2,0,0,1.0297,1.2876,0,stab,1,1
38,0.7115,0.6495,446958480,0.009267,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
39,0.7348,0.5631,446958480,0.009249,1,0,0,0,9,0.3251,1.2876,4,interp1,1,1
40,0.7347,0.5498,446958480,0.009230,3,0,7,0,0,0.6109,1.2876,2,topk,1,1
41,0.7260,0.6532,446958480,0.009212,1,0,9,0,0,0.3251,1.2876,2,topk,1,1
42,0.7324,0.5077,446958480,0.009194,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
43,0.7335,0.5514,446958480,0.009175,0,0,0,9,1,0.3251,1.2876,3,interp0,1,1
44,0.7394,0.5198,446958480,0.009157,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
45,0.7510,0.5202,446958480,0.009138,2,4,4,0,0,1.0549,1.2876,1,used,1,1
46,0.7537,0.5614,446958480,0.009120,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
47,0.7584,0.4699,446958480,0.009102,4,2,4,0,0,1.0549,1.2876,0,stab,1,1
48,0.7421,0.5959,446958480,0.009084,1,9,0,0,0,0.3251,1.2876,1,used,1,1
49,0.7568,0.4969,446958480,0.009066,0,10,0,0,0,0.0000,1.2876,1,used,1,1
50,0.7572,0.5081,446958480,0.009047,4,5,1,0,0,0.9433,1.2876,1,used,1,1
51,0.7689,0.4711,446958480,0.009029,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
52,0.7679,0.4590,446958480,0.009011,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
53,0.7650,0.3937,446958480,0.008993,0,0,0,9,1,0.3251,1.2876,3,interp0,1,1
54,0.7654,0.5481,446958480,0.008975,0,1,0,5,4,0.9433,1.2876,3,interp0,1,1
55,0.7680,0.4393,446958480,0.008957,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
56,0.7744,0.4050,446958480,0.008939,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
57,0.7761,0.4231,446958480,0.008922,2,3,3,0,2,1.3662,1.2876,1,used,1,0
58,0.7728,0.4843,446958480,0.008904,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
59,0.7726,0.3805,446958480,0.008886,4,4,2,0,0,1.0549,1.2876,0,stab,1,1
60,0.7746,0.4266,446958480,0.008868,0,3,0,0,7,0.6109,1.2876,4,interp1,1,1
61,0.7775,0.4531,446958480,0.008850,1,0,9,0,0,0.3251,1.2876,2,topk,1,1
62,0.7832,0.3936,446958480,0.008833,4,0,0,5,1,0.9433,1.2876,3,interp0,1,1
63,0.7883,0.4133,446958480,0.008815,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
64,0.7770,0.4167,446958480,0.008797,5,1,3,1,0,1.1683,1.2876,0,stab,1,1
65,0.7909,0.3922,446958480,0.008780,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
66,0.7933,0.3316,446958480,0.008762,7,1,2,0,0,0.8018,1.2876,0,stab,1,1
67,0.7941,0.4486,446958480,0.008745,0,10,0,0,0,0.0000,1.2876,1,used,1,1
68,0.7875,0.3454,446958480,0.008727,6,2,2,0,0,0.9503,1.2876,0,stab,1,1
69,0.7925,0.3533,446958480,0.008710,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
70,0.7931,0.3802,446958480,0.008692,8,2,0,0,0,0.5004,1.2876,0,stab,1,1
71,0.7966,0.3464,446958480,0.008675,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
72,0.7968,0.3945,446958480,0.008658,2,1,1,3,3,1.5048,1.2876,3,interp0,1,0
73,0.7979,0.3616,446958480,0.008640,0,10,0,0,0,0.0000,1.2876,1,used,1,1
74,0.8023,0.3013,446958480,0.008623,1,3,4,1,1,1.4185,1.2876,2,topk,1,0
75,0.8027,0.2795,446958480,0.008606,0,0,0,1,9,0.3251,1.2876,4,interp1,1,1
76,0.7994,0.3252,446958480,0.008589,0,10,0,0,0,0.0000,1.2876,1,used,1,1
77,0.7965,0.3242,446958480,0.008571,2,5,2,1,0,1.2206,1.2876,1,used,1,1
78,0.7999,0.3557,446958480,0.008554,1,5,1,3,0,1.1683,1.2876,1,used,1,1
79,0.8040,0.3382,446958480,0.008537,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
80,0.8046,0.3313,446958480,0.008520,0,2,6,0,2,0.9503,1.2876,2,topk,1,1
81,0.7981,0.3562,446958480,0.008503,0,0,9,0,1,0.3251,1.2876,2,topk,1,1
82,0.8061,0.3188,446958480,0.008486,0,9,0,1,0,0.3251,1.2876,1,used,1,1
83,0.8120,0.2827,446958480,0.008469,2,0,7,1,0,0.8018,1.2876,2,topk,1,1
84,0.8044,0.2918,446958480,0.008452,0,0,2,1,7,0.8018,1.2876,4,interp1,1,1
85,0.8091,0.3055,446958480,0.008435,0,5,4,1,0,0.9433,1.2876,1,used,1,1
