round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.2657,2.2112,446958480,0.010000,0,3,1,0,2,0,2,0,1,1,1.6957,1.8421,1,used,1,1
1,0.3634,1.9344,446958480,0.009980,0,10,0,0,0,0,0,0,0,0,0.0000,1.8421,1,used,1,1
2,0.4117,1.7450,446958480,0.009960,2,1,0,0,0,0,0,2,4,1,1.4708,1.8421,8,seed0,1,1
3,0.4316,1.6960,446958480,0.009940,0,10,0,0,0,0,0,0,0,0,0.0000,1.8421,1,used,1,1
4,0.4547,1.5282,446958480,0.009920,0,0,0,0,2,0,8,0,0,0,0.5004,1.8421,6,interp3,1,1
5,0.4648,1.5527,446958480,0.009900,0,0,5,5,0,0,0,0,0,0,0.6931,1.8421,2,topk,1,1
6,0.4748,1.4128,446958480,0.009881,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
7,0.4915,1.3618,446958480,0.009861,0,0,0,0,2,8,0,0,0,0,0.5004,1.8421,5,interp2,1,1
8,0.5115,1.3881,446958480,0.009841,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
9,0.5191,1.3632,446958480,0.009821,1,0,2,0,2,1,4,0,0,0,1.4708,1.8421,6,interp3,1,1
10,0.5455,1.2203,446958480,0.009802,2,8,0,0,0,0,0,0,0,0,0.5004,1.8421,1,used,1,1
11,0.5550,1.2246,446958480,0.009782,3,0,0,0,0,0,0,7,0,0,0.6109,1.8421,7,orth0,1,1
12,0.5723,1.0950,446958480,0.009763,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
13,0.5855,1.1201,446958480,0.009743,0,0,0,0,8,1,0,0,0,1,0.6390,1.8421,4,interp1,1,1
14,0.5936,1.0372,446958480,0.009724,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
15,0.5991,1.0384,446958480,0.009704,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
16,0.6093,1.0615,446958480,0.009685,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
17,0.6218,1.0132,446958480,0.009665,0,0,0,0,0,0,0,0,6,4,0.6730,1.8421,8,seed0,1,1
18,0.6368,0.8623,446958480,0.009646,1,7,2,0,0,0,0,0,0,0,0.8018,1.8421,1,used,1,1
19,0.6401,0.9635,446958480,0.009627,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
20,0.6588,0.7997,446958480,0.009608,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
21,0.6613,0.8659,446958480,0.009588,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
22,0.6611,0.7759,446958480,0.009569,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
23,0.6515,0.8640,446958480,0.009550,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
24,0.6706,0.7622,446958480,0.009531,0,10,0,0,0,0,0,0,0,0,0.0000,1.8421,1,used,1,1
25,0.6697,0.7898,446958480,0.009512,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
26,0.6789,0.7237,446958480,0.009493,0,0,0,0,0,5,0,0,5,0,0.6931,1.8421,5,interp2,1,1
27,0.6990,0.6583,446958480,0.009474,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
28,0.7051,0.6398,446958480,0.009455,2,0,3,4,0,1,0,0,0,0,1.2799,1.8421,3,interp0,1,1
29,0.7113,0.6085,446958480,0.009436,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
30,0.7104,0.6396,446958480,0.009417,0,10,0,0,0,0,0,0,0,0,0.0000,1.8421,1,used,1,1
31,0.7216,0.5511,446958480,0.009398,6,4,0,0,0,0,0,0,0,0,0.6730,1.8421,0,stab,1,1
32,0.7165,0.6889,446958480,0.009379,0,0,0,0,10,0,0,0,0,0,0.0000,1.8421,4,interp1,1,1
33,0.7300,0.6150,446958480,0.009361,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
34,0.7293,0.5994,446958480,0.009342,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
35,0.7284,0.6284,446958480,0.009323,0,0,0,0,10,0,0,0,0,0,0.0000,1.8421,4,interp1,1,1
36,0.7275,0.6012,446958480,0.009305,0,0,0,0,0,0,0,0,1,9,0.3251,1.8421,9,seed1,1,1
37,0.7426,0.5216,446958480,0.009286,0,0,1,2,0,0,7,0,0,0,0.8018,1.8421,6,interp3,1,1
38,0.7390,0.5341,446958480,0.009267,0,2,0,3,3,2,0,0,0,0,1.3662,1.8421,3,interp0,1,1
39,0.7472,0.5228,446958480,0.009249,0,0,6,3,0,0,0,0,1,0,0.8979,1.8421,2,topk,1,1
40,0.7513,0.4715,446958480,0.009230,1,1,7,0,0,1,0,0,0,0,0.9404,1.8421,2,topk,1,1
41,0.7408,0.7207,446958480,0.009212,0,1,0,0,0,0,0,8,0,1,0.6390,1.8421,7,orth0,1,1
42,0.7458,0.4963,446958480,0.009194,0,0,0,2,8,0,0,0,0,0,0.5004,1.8421,4,interp1,1,1
43,0.7401,0.5305,446958480,0.009175,0,0,0,0,0,7,0,0,3,0,0.6109,1.8421,5,interp2,1,1
44,0.7499,0.4875,446958480,0.009157,1,2,7,0,0,0,0,0,0,0,0.8018,1.8421,2,topk,1,1
45,0.7640,0.5265,446958480,0.009138,0,0,0,0,0,0,0,0,7,3,0.6109,1.8421,8,seed0,1,1
46,0.7662,0.4822,446958480,0.009120,1,0,0,4,1,3,0,0,1,0,1.4185,1.8421,3,interp0,1,1
47,0.7715,0.3980,446958480,0.009102,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
48,0.7676,0.5553,446958480,0.009084,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
49,0.7726,0.3743,446958480,0.009066,0,0,0,0,9,0,1,0,0,0,0.3251,1.8421,4,interp1,1,1
50,0.7734,0.4357,446958480,0.009047,0,0,0,4,0,0,6,0,0,0,0.6730,1.8421,6,interp3,1,1
51,0.7785,0.4117,446958480,0.009029,0,0,0,0,0,0,0,0,1,9,0.3251,1.8421,9,seed1,1,1
52,0.7777,0.4345,446958480,0.009011,0,0,0,9,0,0,1,0,0,0,0.3251,1.8421,3,interp0,1,1
53,0.7684,0.4324,446958480,0.008993,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
54,0.7742,0.4801,446958480,0.008975,0,0,0,0,10,0,0,0,0,0,0.0000,1.8421,4,interp1,1,1
55,0.7751,0.4095,446958480,0.008957,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
56,0.7834,0.4424,446958480,0.008939,1,1,1,0,0,0,0,0,0,7,0.9404,1.8421,9,seed1,1,1
57,0.7787,0.5055,446958480,0.008922,0,0,0,0,0,1,0,1,0,8,0.6390,1.8421,9,seed1,1,1
58,0.7885,0.4213,446958480,0.008904,0,0,8,0,0,0,0,0,0,2,0.5004,1.8421,2,topk,1,1
59,0.7898,0.3473,446958480,0.008886,0,0,0,6,0,1,1,0,2,0,1.0889,1.8421,3,interp0,1,1
60,0.7851,0.4380,446958480,0.008868,0,2,0,0,0,0,5,0,0,3,1.0297,1.8421,6,interp3,1,1
61,0.7927,0.4110,446958480,0.008850,0,0,0,0,1,9,0,0,0,0,0.3251,1.8421,5,interp2,1,1
62,0.7945,0.3738,446958480,0.008833,0,0,0,9,0,1,0,0,0,0,0.3251,1.8421,3,interp0,1,1
63,0.7936,0.3439,446958480,0.008815,0,0,0,0,0,2,1,0,4,3,1.2799,1.8421,8,seed0,1,1
64,0.7811,0.4172,446958480,0.008797,0,1,0,0,0,1,0,0,8,0,0.6390,1.8421,8,seed0,1,1
65,0.8022,0.3492,446958480,0.008780,0,0,7,3,0,0,0,0,0,0,0.6109,1.8421,2,topk,1,1
66,0.8023,0.3175,446958480,0.008762,0,0,0,0,0,0,0,0,3,7,0.6109,1.8421,9,seed1,1,1
67,0.8032,0.4130,446958480,0.008745,0,0,0,0,0,5,0,1,4,0,0.9433,1.8421,5,interp2,1,1
68,0.8018,0.2895,446958480,0.008727,0,0,8,0,1,0,0,0,1,0,0.6390,1.8421,2,topk,1,1
69,0.8087,0.3161,446958480,0.008710,0,0,0,0,1,7,1,0,0,1,0.9404,1.8421,5,interp2,1,1
70,0.8089,0.3632,446958480,0.008692,0,0,0,4,1,4,0,0,0,1,1.1935,1.8421,3,interp0,1,1
71,0.8074,0.3357,446958480,0.008675,0,4,0,0,1,0,0,0,2,3,1.2799,1.8421,1,used,1,1
72,0.8102,0.3553,446958480,0.008658,0,3,0,1,1,0,0,0,5,0,1.1683,1.8421,8,seed0,1,1
73,0.8096,0.3193,446958480,0.008640,0,0,0,2,2,0,1,0,5,0,1.2206,1.8421,8,seed0,1,1
74,0.8172,0.2805,446958480,0.008623,0,2,1,4,3,0,0,0,0,0,1.2799,1.8421,3,interp0,1,1
75,0.8203,0.2610,446958480,0.008606,0,1,0,1,0,1,5,0,1,1,1.4979,1.8421,6,interp3,1,1
76,0.8180,0.2851,446958480,0.008589,0,0,7,0,0,0,0,0,2,1,0.8018,1.8421,2,topk,1,1
77,0.8108,0.3170,446958480,0.008571,0,0,5,0,0,0,0,1,4,0,0.9433,1.8421,2,topk,1,1
78,0.8090,0.3454,446958480,0.008554,0,0,0,4,1,0,2,1,2,0,1.4708,1.8421,3,interp0,1,1
79,0.8188,0.2791,446958480,0.008537,0,0,1,0,0,1,3,0,2,3,1.5048,1.8421,6,interp3,1,1
