round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1594,1.0473,446958480,0.010000
1,0.2519,1.3115,446958480,0.009980
2,0.1552,1.0340,446958480,0.009960
3,0.1889,1.1654,446958480,0.009940
4,0.1060,1.3272,446958480,0.009920
5,0.1087,1.4963,446958480,0.009900
6,0.2205,1.1112,446958480,0.009881
7,0.1890,1.5526,446958480,0.009861
8,0.2804,0.8412,446958480,0.009841
9,0.1393,1.0531,446958480,0.009821
10,0.2294,0.8980,446958480,0.009802
11,0.2448,1.2276,446958480,0.009782
12,0.2549,0.7663,446958480,0.009763
13,0.1114,0.8144,446958480,0.009743
14,0.2025,0.9660,446958480,0.009724
15,0.3215,0.9022,446958480,0.009704
16,0.2121,0.9948,446958480,0.009685
17,0.3327,0.9937,446958480,0.009665
18,0.2544,1.2505,446958480,0.009646
19,0.2960,0.9673,446958480,0.009627
20,0.3069,0.6591,446958480,0.009608
21,0.1752,0.8177,446958480,0.009588
22,0.1223,0.7335,446958480,0.009569
23,0.3063,0.5318,446958480,0.009550
24,0.2926,0.9154,446958480,0.009531
25,0.3305,0.7236,446958480,0.009512
26,0.2701,0.8829,446958480,0.009493
27,0.2779,1.2594,446958480,0.009474
28,0.3340,1.0213,446958480,0.009455
29,0.2756,0.7972,446958480,0.009436
30,0.2758,0.7789,446958480,0.009417
31,0.3555,0.7177,446958480,0.009398
32,0.2662,0.5440,446958480,0.009379
33,0.3890,0.5635,446958480,0.009361
34,0.3055,0.6220,446958480,0.009342
35,0.3639,0.7043,446958480,0.009323
36,0.2280,0.7748,446958480,0.009305
37,0.3143,0.5415,446958480,0.009286
38,0.3879,0.8082,446958480,0.009267
39,0.2921,0.6278,446958480,0.009249
40,0.3399,0.8577,446958480,0.009230
41,0.2937,0.6390,446958480,0.009212
42,0.3516,0.7491,446958480,0.009194
43,0.4298,0.9291,446958480,0.009175
44,0.3676,0.7791,446958480,0.009157
45,0.3811,0.6973,446958480,0.009138
46,0.3378,0.5527,446958480,0.009120
47,0.4338,0.6484,446958480,0.009102
48,0.4448,0.6119,446958480,0.009084
49,0.2945,0.6458,446958480,0.009066
50,0.3817,0.6453,446958480,0.009047
51,0.3313,0.6087,446958480,0.009029
52,0.3392,0.8437,446958480,0.009011
53,0.2121,0.7706,446958480,0.008993
54,0.2868,0.8176,446958480,0.008975
55,0.4799,0.7071,446958480,0.008957
56,0.3524,0.3784,446958480,0.008939
57,0.5076,0.7934,446958480,0.008922
58,0.4258,0.5903,446958480,0.008904
59,0.4216,0.5477,446958480,0.008886
60,0.4711,0.4951,446958480,0.008868
61,0.2821,0.8986,446958480,0.008850
62,0.4334,0.5097,446958480,0.008833
63,0.3937,0.5998,446958480,0.008815
64,0.5324,0.7902,446958480,0.008797
65,0.3478,0.5897,446958480,0.008780
66,0.4053,0.4092,446958480,0.008762
67,0.4237,0.5419,446958480,0.008745
68,0.4276,0.6172,446958480,0.008727
69,0.5015,0.7641,446958480,0.008710
70,0.4955,0.6042,446958480,0.008692
71,0.3502,0.8116,446958480,0.008675
72,0.3475,0.6422,446958480,0.008658
73,0.4782,0.6322,446958480,0.008640
74,0.3427,0.8975,446958480,0.008623
75,0.5974,0.4900,446958480,0.008606
76,0.4731,0.8105,446958480,0.008589
77,0.5691,0.9464,446958480,0.008571
78,0.5201,0.5321,446958480,0.008554
79,0.3220,0.5500,446958480,0.008537
80,0.4906,0.8524,446958480,0.008520
81,0.5639,0.6152,446958480,0.008503
82,0.4547,0.6359,446958480,0.008486
83,0.4580,0.9328,446958480,0.008469
84,0.4777,0.5408,446958480,0.008452
85,0.4676,0.5349,446958480,0.008435
86,0.4484,0.5048,446958480,0.008418
87,0.4124,0.6096,446958480,0.008402
88,0.3925,0.5985,446958480,0.008385
89,0.3803,0.7361,446958480,0.008368
90,0.4808,0.6553,446958480,0.008351
91,0.5038,0.6195,446958480,0.008334
92,0.4763,0.6451,446958480,0.008318
93,0.4110,0.8777,446958480,0.008301
94,0.3232,0.4075,446958480,0.008285
95,0.2882,2.0420,446958480,0.008268
96,0.5248,0.5329,446958480,0.008251
97,0.4284,0.6143,446958480,0.008235
98,0.3762,0.5787,446958480,0.008219
99,0.5957,0.3660,446958480,0.008202
100,0.5549,0.7440,446958480,0.008186
101,0.5632,0.4223,446958480,0.008169
102,0.4760,0.5146,446958480,0.008153
103,0.3990,0.5725,446958480,0.008137
104,0.5370,0.5924,446958480,0.008120
105,0.4342,0.7536,446958480,0.008104
106,0.5045,0.4397,446958480,0.008088
107,0.5931,0.4506,446958480,0.008072
108,0.5853,0.5054,446958480,0.008056
109,0.5118,0.3627,446958480,0.008039
110,0.5717,0.4123,446958480,0.008023
111,0.5525,0.5171,446958480,0.008007
112,0.5968,0.5674,446958480,0.007991
113,0.5188,0.3841,446958480,0.007975
114,0.3794,0.7664,446958480,0.007959
115,0.5388,0.6395,446958480,0.007944
116,0.4800,0.5028,446958480,0.007928
117,0.5373,0.7912,446958480,0.007912
118,0.6314,0.7407,446958480,0.007896
119,0.5065,0.4604,446958480,0.007880
120,0.4974,0.3955,446958480,0.007864
121,0.5122,0.6439,446958480,0.007849
122,0.5957,0.8688,446958480,0.007833
123,0.5624,0.5901,446958480,0.007817
124,0.4183,0.7723,446958480,0.007802
125,0.4911,1.0243,446958480,0.007786
126,0.5810,0.5193,446958480,0.007770
127,0.4959,0.5975,446958480,0.007755
128,0.6095,0.5583,446958480,0.007739
129,0.6341,0.3837,446958480,0.007724
130,0.5132,0.5534,446958480,0.007709
131,0.6256,0.7407,446958480,0.007693
132,0.5460,0.5332,446958480,0.007678
133,0.5720,0.4123,446958480,0.007662
134,0.5559,0.5824,446958480,0.007647
135,0.4275,0.4931,446958480,0.007632
136,0.6079,0.4283,446958480,0.007616
137,0.5891,1.2810,446958480,0.007601
138,0.6987,0.5513,446958480,0.007586
139,0.7165,0.4078,446958480,0.007571
140,0.4645,0.3759,446958480,0.007556
141,0.4969,0.3252,446958480,0.007541
142,0.5826,0.4484,446958480,0.007526
143,0.5138,0.3140,446958480,0.007510
144,0.5837,0.5239,446958480,0.007495
145,0.5100,0.3818,446958480,0.007480
146,0.6581,0.6783,446958480,0.007466
147,0.5773,0.3335,446958480,0.007451
148,0.6692,0.4368,446958480,0.007436
149,0.6149,1.0115,446958480,0.007421
150,0.5349,0.5949,446958480,0.007406
151,0.6044,0.3893,446958480,0.007391
152,0.5440,0.3019,446958480,0.007376
153,0.7229,0.4889,446958480,0.007362
154,0.6250,0.2837,446958480,0.007347
155,0.6957,0.5736,446958480,0.007332
156,0.7023,0.2658,446958480,0.007318
157,0.5798,0.2919,446958480,0.007303
158,0.6384,0.3767,446958480,0.007288
159,0.5385,0.5064,446958480,0.007274
160,0.6100,0.3252,446958480,0.007259
161,0.5972,0.2782,446958480,0.007245
162,0.5703,0.5003,446958480,0.007230
163,0.6049,0.4949,446958480,0.007216
164,0.5431,0.6158,446958480,0.007201
165,0.5609,0.6130,446958480,0.007187
166,0.5930,0.4225,446958480,0.007172
167,0.6644,0.5016,446958480,0.007158
168,0.5910,0.9103,446958480,0.007144
169,0.6358,0.6021,446958480,0.007130
170,0.5504,0.3035,446958480,0.007115
171,0.5094,0.6102,446958480,0.007101
172,0.6004,0.4789,446958480,0.007087
173,0.6391,0.5725,446958480,0.007073
174,0.6321,0.4021,446958480,0.007059
175,0.6250,0.5002,446958480,0.007044
176,0.5149,0.5012,446958480,0.007030
177,0.5036,0.6970,446958480,0.007016
178,0.5455,0.5596,446958480,0.007002
179,0.6277,0.5322,446958480,0.006988
180,0.6710,0.4652,446958480,0.006974
181,0.5657,0.3599,446958480,0.006960
182,0.6498,0.5059,446958480,0.006946
183,0.6617,0.3549,446958480,0.006932
184,0.5894,0.4841,446958480,0.006919
185,0.5985,0.5033,446958480,0.006905
186,0.6932,0.3135,446958480,0.006891
187,0.7160,0.3527,446958480,0.006877
188,0.6406,0.3321,446958480,0.006863
189,0.5068,0.3624,446958480,0.006850
190,0.6322,0.3178,446958480,0.006836
191,0.7363,0.3538,446958480,0.006822
192,0.6205,0.4219,446958480,0.006809
193,0.7515,0.3997,446958480,0.006795
194,0.6860,0.3678,446958480,0.006781
195,0.6886,0.6000,446958480,0.006768
196,0.7119,0.3304,446958480,0.006754
197,0.6977,0.3219,446958480,0.006741
198,0.6982,0.2734,446958480,0.006727
199,0.7024,0.5307,446958480,0.006714
200,0.6897,0.5998,446958480,0.006701
201,0.7110,0.2968,446958480,0.006687
202,0.5643,0.3096,446958480,0.006674
203,0.6585,0.4400,446958480,0.006660
204,0.5483,0.2751,446958480,0.006647
205,0.6395,0.3973,446958480,0.006634
206,0.6803,0.6414,446958480,0.006621
207,0.4816,0.4462,446958480,0.006607
208,0.5930,0.3410,446958480,0.006594
209,0.6995,0.4188,446958480,0.006581
210,0.6455,0.3521,446958480,0.006568
211,0.7271,0.2938,446958480,0.006555
212,0.7301,0.2850,446958480,0.006541
213,0.6588,0.3266,446958480,0.006528
214,0.6914,0.3262,446958480,0.006515
215,0.7243,0.4250,446958480,0.006502
216,0.7207,0.2562,446958480,0.006489
217,0.7143,0.2335,446958480,0.006476
218,0.7178,0.2055,446958480,0.006463
219,0.7328,0.2884,446958480,0.006450
220,0.6348,0.2999,446958480,0.006438
221,0.5178,0.5817,446958480,0.006425
222,0.7047,0.3965,446958480,0.006412
223,0.7056,0.2609,446958480,0.006399
224,0.7135,0.2497,446958480,0.006386
225,0.7366,0.1726,446958480,0.006373
226,0.5823,0.3380,446958480,0.006361
227,0.7087,0.1880,446958480,0.006348
228,0.7112,0.2581,446958480,0.006335
229,0.5826,0.2315,446958480,0.006323
230,0.6849,0.2132,446958480,0.006310
231,0.4763,0.3502,446958480,0.006297
232,0.6068,0.2869,446958480,0.006285
233,0.7940,0.2417,446958480,0.006272
234,0.7066,0.2073,446958480,0.006260
235,0.5734,0.2501,446958480,0.006247
236,0.7142,0.3034,446958480,0.006235
237,0.5297,0.4320,446958480,0.006222
238,0.5453,0.4914,446958480,0.006210
239,0.5643,0.3447,446958480,0.006197
240,0.3756,0.7647,446958480,0.006185
241,0.6181,0.3674,446958480,0.006172
242,0.6471,0.3050,446958480,0.006160
243,0.7408,0.3929,446958480,0.006148
244,0.6338,0.4085,446958480,0.006136
245,0.6907,0.3774,446958480,0.006123
246,0.6477,0.2401,446958480,0.006111
247,0.5677,0.3853,446958480,0.006099
248,0.7468,0.4866,446958480,0.006087
249,0.6200,0.2202,446958480,0.006074
250,0.7308,0.3992,446958480,0.006062
251,0.7309,0.6084,446958480,0.006050
252,0.7754,0.4233,446958480,0.006038
253,0.6577,0.3796,446958480,0.006026
254,0.6785,0.2743,446958480,0.006014
255,0.7551,0.4846,446958480,0.006002
256,0.7368,0.2586,446958480,0.005990
257,0.5247,0.4339,446958480,0.005978
258,0.7198,0.4697,446958480,0.005966
259,0.6310,0.3500,446958480,0.005954
260,0.7868,0.3579,446958480,0.005942
261,0.7498,0.3064,446958480,0.005930
262,0.7634,0.1288,446958480,0.005918
263,0.6148,0.3112,446958480,0.005907
264,0.5978,0.2274,446958480,0.005895
265,0.7253,0.5133,446958480,0.005883
266,0.6947,0.2906,446958480,0.005871
267,0.7006,0.2014,446958480,0.005859
268,0.6785,0.2870,446958480,0.005848
269,0.6848,0.2196,446958480,0.005836
270,0.7594,0.2333,446958480,0.005824
271,0.6956,0.2056,446958480,0.005813
272,0.6888,0.4070,446958480,0.005801
273,0.7379,0.3118,446958480,0.005789
274,0.7129,0.4196,446958480,0.005778
275,0.6296,0.1605,446958480,0.005766
276,0.7216,0.2230,446958480,0.005755
277,0.7198,0.3030,446958480,0.005743
278,0.6901,0.2210,446958480,0.005732
279,0.6591,0.2906,446958480,0.005720
280,0.7569,0.1996,446958480,0.005709
281,0.6583,0.4060,446958480,0.005697
282,0.7579,0.1133,446958480,0.005686
283,0.7549,0.3424,446958480,0.005675
284,0.5687,0.3039,446958480,0.005663
285,0.7100,0.1960,446958480,0.005652
286,0.6137,0.3632,446958480,0.005641
287,0.7263,0.3876,446958480,0.005629
288,0.7234,0.2512,446958480,0.005618
289,0.7475,0.3584,446958480,0.005607
290,0.7184,0.3007,446958480,0.005596
291,0.7197,0.3896,446958480,0.005585
292,0.6502,0.2343,446958480,0.005573
293,0.7572,0.2162,446958480,0.005562
294,0.8091,0.2993,446958480,0.005551
295,0.7368,0.1677,446958480,0.005540
296,0.7991,0.2169,446958480,0.005529
297,0.7642,0.1842,446958480,0.005518
298,0.7450,0.2062,446958480,0.005507
299,0.6405,0.3172,446958480,0.005496
300,0.7154,0.2547,446958480,0.005485
301,0.7661,0.3716,446958480,0.005474
302,0.5866,0.4324,446958480,0.005463
303,0.6377,0.4363,446958480,0.005452
304,0.7178,0.2592,446958480,0.005441
305,0.7442,0.2715,446958480,0.005430
306,0.7585,0.3306,446958480,0.005419
307,0.6150,0.1479,446958480,0.005408
308,0.7683,0.3224,446958480,0.005398
309,0.7505,0.2359,446958480,0.005387
310,0.7271,0.3121,446958480,0.005376
311,0.7556,0.2334,446958480,0.005365
312,0.7450,0.5907,446958480,0.005355
313,0.7246,0.3075,446958480,0.005344
314,0.7496,0.1822,446958480,0.005333
315,0.7559,0.1995,446958480,0.005323
316,0.7954,0.2187,446958480,0.005312
317,0.7123,0.1464,446958480,0.005301
318,0.7791,0.1819,446958480,0.005291
319,0.7980,0.1507,446958480,0.005280
320,0.7764,0.2753,446958480,0.005270
321,0.7274,0.2689,446958480,0.005259
322,0.5686,0.1504,446958480,0.005248
323,0.7254,0.2874,446958480,0.005238
324,0.6835,0.3020,446958480,0.005228
325,0.7863,0.1985,446958480,0.005217
326,0.7883,0.1382,446958480,0.005207
327,0.7092,0.6703,446958480,0.005196
328,0.7744,0.2047,446958480,0.005186
329,0.7248,0.1972,446958480,0.005175
330,0.6696,0.1482,446958480,0.005165
331,0.7838,0.1674,446958480,0.005155
332,0.7692,0.2229,446958480,0.005144
333,0.5431,0.1441,446958480,0.005134
334,0.7304,0.1473,446958480,0.005124
335,0.7990,0.2534,446958480,0.005114
336,0.7676,0.1666,446958480,0.005103
337,0.7709,0.2548,446958480,0.005093
338,0.7430,0.1659,446958480,0.005083
339,0.6927,0.1738,446958480,0.005073
340,0.7191,0.2638,446958480,0.005063
341,0.7020,0.1991,446958480,0.005053
342,0.7457,0.2623,446958480,0.005042
343,0.7716,0.1694,446958480,0.005032
344,0.6635,0.1864,446958480,0.005022
345,0.7553,0.1189,446958480,0.005012
346,0.8129,0.1010,446958480,0.005002
347,0.6837,0.1441,446958480,0.004992
348,0.7169,0.3383,446958480,0.004982
349,0.6751,0.3672,446958480,0.004972
350,0.7013,0.3013,446958480,0.004962
351,0.7229,0.3974,446958480,0.004952
352,0.6594,0.2701,446958480,0.004943
353,0.6141,0.1732,446958480,0.004933
354,0.7677,0.2659,446958480,0.004923
355,0.8034,0.1303,446958480,0.004913
356,0.7950,0.1497,446958480,0.004903
357,0.6869,0.3075,446958480,0.004893
358,0.6995,0.3507,446958480,0.004884
359,0.7384,0.1392,446958480,0.004874
360,0.7350,0.2055,446958480,0.004864
361,0.7792,0.1033,446958480,0.004854
362,0.7793,0.2378,446958480,0.004845
363,0.7233,0.1440,446958480,0.004835
364,0.7263,0.2413,446958480,0.004825
365,0.6695,0.2706,446958480,0.004816
366,0.7837,0.1757,446958480,0.004806
367,0.7777,0.1694,446958480,0.004796
368,0.7374,0.2518,446958480,0.004787
369,0.6912,0.2324,446958480,0.004777
370,0.6505,0.3155,446958480,0.004768
371,0.6570,0.3601,446958480,0.004758
372,0.7320,0.3153,446958480,0.004749
373,0.4445,0.3899,446958480,0.004739
374,0.6762,0.3117,446958480,0.004730
375,0.5560,0.2241,446958480,0.004720
376,0.7754,0.1683,446958480,0.004711
377,0.7028,0.1565,446958480,0.004701
378,0.7614,0.1973,446958480,0.004692
379,0.7639,0.1584,446958480,0.004682
380,0.7296,0.1848,446958480,0.004673
381,0.7523,0.1491,446958480,0.004664
382,0.7457,0.2186,446958480,0.004654
383,0.8013,0.2073,446958480,0.004645
384,0.7667,0.2101,446958480,0.004636
385,0.7243,0.1704,446958480,0.004627
386,0.7996,0.2730,446958480,0.004617
387,0.7475,0.2349,446958480,0.004608
388,0.7606,0.2253,446958480,0.004599
389,0.6955,0.1761,446958480,0.004590
390,0.7932,0.1045,446958480,0.004580
391,0.7664,0.2423,446958480,0.004571
392,0.8099,0.1715,446958480,0.004562
393,0.6528,0.2511,446958480,0.004553
394,0.7694,0.1067,446958480,0.004544
395,0.7844,0.1332,446958480,0.004535
396,0.7399,0.1260,446958480,0.004526
397,0.6617,0.3456,446958480,0.004517
398,0.7075,0.2578,446958480,0.004508
399,0.7076,0.2051,446958480,0.004499
400,0.6540,0.2729,446958480,0.004490
401,0.7975,0.4164,446958480,0.004481
402,0.5932,0.4880,446958480,0.004472
403,0.7048,0.1583,446958480,0.004463
404,0.7102,0.2032,446958480,0.004454
405,0.7147,0.2825,446958480,0.004445
406,0.7380,0.2724,446958480,0.004436
407,0.7815,0.1030,446958480,0.004427
408,0.7225,0.1647,446958480,0.004418
409,0.7025,0.2157,446958480,0.004410
410,0.6794,0.3983,446958480,0.004401
411,0.7232,0.2136,446958480,0.004392
412,0.6388,0.3115,446958480,0.004383
413,0.6930,0.3970,446958480,0.004374
414,0.6260,0.3085,446958480,0.004366
415,0.6375,0.4947,446958480,0.004357
416,0.6444,0.1285,446958480,0.004348
417,0.5612,0.1994,446958480,0.004339
418,0.7818,0.1233,446958480,0.004331
419,0.6905,0.1235,446958480,0.004322
420,0.7630,0.2991,446958480,0.004313
421,0.6676,0.4420,446958480,0.004305
422,0.7862,0.1235,446958480,0.004296
423,0.6673,0.2402,446958480,0.004288
424,0.6802,0.1577,446958480,0.004279
425,0.5602,0.3573,446958480,0.004271
426,0.7055,0.2033,446958480,0.004262
427,0.7440,0.1203,446958480,0.004253
428,0.7636,0.2325,446958480,0.004245
429,0.7365,0.1160,446958480,0.004236
430,0.7969,0.2214,446958480,0.004228
431,0.6791,0.1911,446958480,0.004220
432,0.7478,0.2409,446958480,0.004211
433,0.6398,0.1632,446958480,0.004203
434,0.7677,0.2452,446958480,0.004194
435,0.8120,0.1212,446958480,0.004186
436,0.7670,0.1339,446958480,0.004177
437,0.7487,0.1723,446958480,0.004169
438,0.7028,0.2038,446958480,0.004161
439,0.4236,0.3009,446958480,0.004152
440,0.7460,0.2782,446958480,0.004144
441,0.7357,0.2038,446958480,0.004136
442,0.8062,0.1522,446958480,0.004128
443,0.7640,0.1685,446958480,0.004119
444,0.7111,0.1161,446958480,0.004111
445,0.8002,0.3097,446958480,0.004103
446,0.7950,0.1800,446958480,0.004095
447,0.8030,0.1446,446958480,0.004087
448,0.8082,0.1375,446958480,0.004078
449,0.7996,0.2440,446958480,0.004070
450,0.7534,0.1456,446958480,0.004062
451,0.7397,0.1359,446958480,0.004054
452,0.7176,0.1140,446958480,0.004046
453,0.7899,0.1270,446958480,0.004038
454,0.7826,0.0956,446958480,0.004030
455,0.8028,0.1097,446958480,0.004022
456,0.6467,0.2665,446958480,0.004014
457,0.8055,0.1240,446958480,0.004006
458,0.7143,0.2790,446958480,0.003997
459,0.8128,0.1125,446958480,0.003989
460,0.7795,0.2195,446958480,0.003982
461,0.6367,0.1032,446958480,0.003974
462,0.6392,0.1895,446958480,0.003966
463,0.7334,0.1070,446958480,0.003958
464,0.8212,0.1609,446958480,0.003950
465,0.8017,0.1407,446958480,0.003942
466,0.6782,0.1955,446958480,0.003934
467,0.8075,0.1730,446958480,0.003926
468,0.7540,0.0985,446958480,0.003918
469,0.7289,0.2175,446958480,0.003910
470,0.8016,0.1146,446958480,0.003903
471,0.7897,0.1583,446958480,0.003895
472,0.7714,0.1129,446958480,0.003887
473,0.8060,0.1571,446958480,0.003879
474,0.7701,0.1003,446958480,0.003871
475,0.7468,0.1164,446958480,0.003864
476,0.7832,0.2193,446958480,0.003856
477,0.6023,0.2258,446958480,0.003848
