round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1000,1.0735,447344080,0.010000
1,0.1000,2.4122,447344080,0.009980
2,0.1000,2.3923,447344080,0.009960
3,0.1000,4.6059,447344080,0.009940
4,0.1000,9.2617,447344080,0.009920
5,0.1000,4.2294,447344080,0.009900
6,0.1000,2.4828,447344080,0.009881
7,0.1000,2.1160,447344080,0.009861
8,0.0999,1.9985,447344080,0.009841
9,0.1000,2.0363,447344080,0.009821
10,0.0999,2.1535,447344080,0.009802
11,0.0996,2.5148,447344080,0.009782
12,0.1001,1.6546,447344080,0.009763
13,0.1011,1.7746,447344080,0.009743
14,0.1000,2.0564,447344080,0.009724
15,0.1000,2.3660,447344080,0.009704
16,0.1016,2.1879,447344080,0.009685
17,0.1037,2.2353,447344080,0.009665
18,0.1032,2.2145,447344080,0.009646
19,0.1029,2.3282,447344080,0.009627
20,0.1028,2.0465,447344080,0.009608
21,0.1036,2.1385,447344080,0.009588
22,0.1000,1.9333,447344080,0.009569
23,0.1004,1.7740,447344080,0.009550
24,0.1000,1.8941,447344080,0.009531
25,0.1000,1.9661,447344080,0.009512
26,0.1001,2.3366,447344080,0.009493
27,0.1026,2.0829,447344080,0.009474
28,0.1075,2.0638,447344080,0.009455
29,0.1000,2.1688,447344080,0.009436
30,0.1031,1.9309,447344080,0.009417
31,0.1115,2.3105,447344080,0.009398
32,0.1105,1.9436,447344080,0.009379
33,0.0947,1.5694,447344080,0.009361
34,0.1000,1.9106,447344080,0.009342
35,0.1058,1.7577,447344080,0.009323
36,0.1068,2.2561,447344080,0.009305
37,0.1176,1.6203,447344080,0.009286
38,0.1063,1.6334,447344080,0.009267
39,0.1043,1.6836,447344080,0.009249
40,0.1133,2.0606,447344080,0.009230
41,0.1148,1.4894,447344080,0.009212
42,0.1102,2.1993,447344080,0.009194
43,0.1141,2.4263,447344080,0.009175
44,0.1133,1.9204,447344080,0.009157
45,0.1103,2.5911,447344080,0.009138
46,0.1175,1.6843,447344080,0.009120
47,0.1000,1.7207,447344080,0.009102
48,0.1081,1.7056,447344080,0.009084
49,0.0992,1.5605,447344080,0.009066
50,0.1089,2.3731,447344080,0.009047
51,0.1019,2.0066,447344080,0.009029
52,0.1000,2.1270,447344080,0.009011
53,0.1102,2.1217,447344080,0.008993
54,0.1000,2.2796,447344080,0.008975
55,0.1000,1.6924,447344080,0.008957
56,0.1080,1.3405,447344080,0.008939
57,0.1058,2.2373,447344080,0.008922
58,0.1123,1.7587,447344080,0.008904
59,0.1097,1.7630,447344080,0.008886
60,0.1135,2.1947,447344080,0.008868
61,0.1000,2.0479,447344080,0.008850
62,0.1061,1.8332,447344080,0.008833
63,0.1000,1.8657,447344080,0.008815
64,0.1050,1.9501,447344080,0.008797
65,0.1082,1.7454,447344080,0.008780
66,0.1120,1.6056,447344080,0.008762
67,0.1021,1.5226,447344080,0.008745
68,0.1018,2.1179,447344080,0.008727
69,0.1084,1.7970,447344080,0.008710
70,0.1023,1.8471,447344080,0.008692
71,0.1096,1.7630,447344080,0.008675
72,0.1168,1.4291,447344080,0.008658
73,0.1058,1.9743,447344080,0.008640
74,0.1096,2.1876,447344080,0.008623
75,0.1129,1.7917,447344080,0.008606
76,0.1082,1.9282,447344080,0.008589
77,0.1059,2.0215,447344080,0.008571
78,0.1127,1.8203,447344080,0.008554
79,0.1085,1.6945,447344080,0.008537
80,0.1103,1.6669,447344080,0.008520
81,0.1138,1.7559,447344080,0.008503
82,0.1102,1.8136,447344080,0.008486
83,0.1009,1.6917,447344080,0.008469
84,0.1004,1.6015,447344080,0.008452
85,0.0947,1.6420,447344080,0.008435
86,0.1006,1.4203,447344080,0.008418
87,0.1018,1.6365,447344080,0.008402
88,0.1561,1.6748,447344080,0.008385
89,0.1465,1.7401,447344080,0.008368
90,0.1292,1.8672,447344080,0.008351
91,0.1000,1.7542,447344080,0.008334
92,0.1000,1.7301,447344080,0.008318
93,0.1152,2.0998,447344080,0.008301
94,0.1523,1.4189,447344080,0.008285
95,0.1000,1.9931,447344080,0.008268
96,0.1000,1.7383,447344080,0.008251
97,0.1000,1.7958,447344080,0.008235
98,0.1077,1.6322,447344080,0.008219
99,0.1237,1.4678,447344080,0.008202
100,0.1013,2.3027,447344080,0.008186
101,0.1037,1.6117,447344080,0.008169
102,0.1000,1.5318,447344080,0.008153
103,0.1232,1.5833,447344080,0.008137
104,0.1171,1.5910,447344080,0.008120
105,0.1000,1.7233,447344080,0.008104
106,0.1455,1.7694,447344080,0.008088
107,0.1501,1.4248,447344080,0.008072
