round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.1000,1.0451,447344080,0.010000,,,,,,,,,,,,,,,,
1,0.1000,1.5297,447344080,0.009980,,,,,,,,,,,,,,,,
2,0.1000,2.1990,447344080,0.009960,,,,,,,,,,,,,,,,
3,0.1000,4.8928,447344080,0.009940,,,,,,,,,,,,,,,,
4,0.1000,2.9285,447344080,0.009920,,,,,,,,,,,,,,,,
5,0.1000,1.9260,447344080,0.009900,,,,,,,,,,,,,,,,
6,0.1000,2.9562,447344080,0.009881,,,,,,,,,,,,,,,,
7,0.1000,3.4827,447344080,0.009861,,,,,,,,,,,,,,,,
8,0.1000,2.2272,447344080,0.009841,,,,,,,,,,,,,,,,
9,0.1000,2.4113,447344080,0.009821,,,,,,,,,,,,,,,,
10,0.1000,1.8026,447344080,0.009802,,,,,,,,,,,,,,,,
11,0.1002,1.8660,447344080,0.009782,,,,,,,,,,,,,,,,
12,0.0998,1.8431,447344080,0.009763,,,,,,,,,,,,,,,,
13,0.0999,1.8307,447344080,0.009743,,,,,,,,,,,,,,,,
14,0.0748,1.9017,447344080,0.009724,,,,,,,,,,,,,,,,
15,0.0914,1.9227,447344080,0.009704,,,,,,,,,,,,,,,,
16,0.0978,2.0168,447344080,0.009685,,,,,,,,,,,,,,,,
17,0.1387,2.0410,447344080,0.009665,,,,,,,,,,,,,,,,
18,0.1008,1.8054,447344080,0.009646,,,,,,,,,,,,,,,,
19,0.1004,2.2233,447344080,0.009627,,,,,,,,,,,,,,,,
20,0.1177,1.8235,447344080,0.009608,,,,,,,,,,,,,,,,
21,0.0949,1.8437,447344080,0.009588,,,,,,,,,,,,,,,,
22,0.1000,1.7233,447344080,0.009569,,,,,,,,,,,,,,,,
23,0.0955,1.3966,447344080,0.009550,,,,,,,,,,,,,,,,
24,0.1003,1.8265,447344080,0.009531,,,,,,,,,,,,,,,,
25,0.1000,1.6869,447344080,0.009512,,,,,,,,,,,,,,,,
26,0.1000,1.6879,447344080,0.009493,,,,,,,,,,,,,,,,
27,0.1009,1.7055,447344080,0.009474,,,,,,,,,,,,,,,,
28,0.1041,1.6894,447344080,0.009455,,,,,,,,,,,,,,,,
29,0.1047,1.6975,447344080,0.009436,,,,,,,,,,,,,,,,
30,0.1337,1.4172,447344080,0.009417,,,,,,,,,,,,,,,,
31,0.1422,1.8430,447344080,0.009398,,,,,,,,,,,,,,,,
32,0.1382,1.4166,447344080,0.009379,,,,,,,,,,,,,,,,
33,0.1283,1.4376,447344080,0.009361,,,,,,,,,,,,,,,,
34,0.1154,2.1796,447344080,0.009342,,,,,,,,,,,,,,,,
35,0.1477,2.0251,447344080,0.009323,,,,,,,,,,,,,,,,
36,0.1121,1.8470,447344080,0.009305,,,,,,,,,,,,,,,,
37,0.1622,1.5114,447344080,0.009286,,,,,,,,,,,,,,,,
38,0.1093,2.1022,447344080,0.009267,,,,,,,,,,,,,,,,
39,0.1558,1.5142,447344080,0.009249,,,,,,,,,,,,,,,,
40,0.1672,1.7461,447344080,0.009230,,,,,,,,,,,,,,,,
41,0.1733,1.4945,447344080,0.009212,,,,,,,,,,,,,,,,
42,0.1418,1.9848,447344080,0.009194,,,,,,,,,,,,,,,,
43,0.1486,1.7811,447344080,0.009175,,,,,,,,,,,,,,,,
44,0.1269,1.5919,447344080,0.009157,,,,,,,,,,,,,,,,
45,0.1606,1.6404,447344080,0.009138,,,,,,,,,,,,,,,,
46,0.1603,1.3188,447344080,0.009120,,,,,,,,,,,,,,,,
47,0.1000,1.6216,447344080,0.009102,,,,,,,,,,,,,,,,
48,0.1000,1.8676,447344080,0.009084,,,,,,,,,,,,,,,,
49,0.1837,1.3993,447344080,0.009066,,,,,,,,,,,,,,,,
50,0.1011,2.0813,447344080,0.009047,,,,,,,,,,,,,,,,
51,0.0961,2.0800,447344080,0.009029,,,,,,,,,,,,,,,,
52,0.1000,2.1196,447344080,0.009011,,,,,,,,,,,,,,,,
53,0.1477,1.5661,447344080,0.008993,,,,,,,,,,,,,,,,
54,0.1000,1.5469,447344080,0.008975,,,,,,,,,,,,,,,,
55,0.1594,1.4301,447344080,0.008957,,,,,,,,,,,,,,,,
56,0.1326,1.2081,447344080,0.008939,,,,,,,,,,,,,,,,
57,0.1083,1.9819,447344080,0.008922,,,,,,,,,,,,,,,,
58,0.1284,1.8138,447344080,0.008904,,,,,,,,,,,,,,,,
59,0.1931,1.4965,447344080,0.008886,,,,,,,,,,,,,,,,
60,0.1564,1.5931,447344080,0.008868,,,,,,,,,,,,,,,,
61,0.1000,1.4578,447344080,0.008850,,,,,,,,,,,,,,,,
62,0.1004,1.5516,447344080,0.008833,,,,,,,,,,,,,,,,
63,0.0966,1.6846,447344080,0.008815,,,,,,,,,,,,,,,,
64,0.1178,1.6072,447344080,0.008797,,,,,,,,,,,,,,,,
65,0.1392,1.3485,447344080,0.008780,,,,,,,,,,,,,,,,
66,0.1886,1.3653,447344080,0.008762,,,,,,,,,,,,,,,,
67,0.1129,1.2781,447344080,0.008745,,,,,,,,,,,,,,,,
68,0.1400,1.6265,447344080,0.008727,,,,,,,,,,,,,,,,
69,0.1000,1.5326,447344080,0.008710,,,,,,,,,,,,,,,,
70,0.1851,1.4680,447344080,0.008692,,,,,,,,,,,,,,,,
71,0.2015,1.8349,447344080,0.008675,,,,,,,,,,,,,,,,
72,0.0948,1.3405,447344080,0.008658,,,,,,,,,,,,,,,,
73,0.1917,1.5341,447344080,0.008640,,,,,,,,,,,,,,,,
74,0.1000,1.5153,447344080,0.008623,,,,,,,,,,,,,,,,
75,0.1539,1.5513,447344080,0.008606,,,,,,,,,,,,,,,,
76,0.1027,1.5144,447344080,0.008589,,,,,,,,,,,,,,,,
77,0.1000,1.5972,447344080,0.008571,,,,,,,,,,,,,,,,
78,0.2160,1.4752,447344080,0.008554,,,,,,,,,,,,,,,,
79,0.1000,1.2715,447344080,0.008537,,,,,,,,,,,,,,,,
80,0.1663,1.5018,447344080,0.008520,,,,,,,,,,,,,,,,
81,0.1546,1.5544,447344080,0.008503,,,,,,,,,,,,,,,,
82,0.1653,1.7106,447344080,0.008486,,,,,,,,,,,,,,,,
83,0.1000,1.6050,447344080,0.008469,,,,,,,,,,,,,,,,
84,0.2022,1.2701,447344080,0.008452,,,,,,,,,,,,,,,,
85,0.1638,1.4539,447344080,0.008435,,,,,,,,,,,,,,,,
86,0.1112,1.4903,447344080,0.008418,,,,,,,,,,,,,,,,
87,0.1536,1.4099,447344080,0.008402,,,,,,,,,,,,,,,,
88,0.1000,1.3896,447344080,0.008385,,,,,,,,,,,,,,,,
89,0.1935,1.5929,447344080,0.008368,,,,,,,,,,,,,,,,
90,0.1631,1.6284,447344080,0.008351,,,,,,,,,,,,,,,,
91,0.1853,1.5291,447344080,0.008334,,,,,,,,,,,,,,,,
92,0.1000,1.4240,447344080,0.008318,,,,,,,,,,,,,,,,
93,0.1618,1.4475,447344080,0.008301,,,,,,,,,,,,,,,,
94,0.2232,1.1538,447344080,0.008285,,,,,,,,,,,,,,,,
95,0.1000,1.9156,447344080,0.008268,,,,,,,,,,,,,,,,
96,0.1018,1.8921,447344080,0.008251,,,,,,,,,,,,,,,,
97,0.1490,1.3841,447344080,0.008235,,,,,,,,,,,,,,,,
98,0.1000,1.4874,447344080,0.008219,,,,,,,,,,,,,,,,
99,0.1000,1.2612,447344080,0.008202,,,,,,,,,,,,,,,,
100,0.1075,2.6222,447344080,0.008186,,,,,,,,,,,,,,,,
101,0.1000,1.4381,447344080,0.008169,,,,,,,,,,,,,,,,
102,0.1000,1.4560,447344080,0.008153,,,,,,,,,,,,,,,,
103,0.2301,1.3616,447344080,0.008137,,,,,,,,,,,,,,,,
104,0.1000,1.4081,447344080,0.008120,,,,,,,,,,,,,,,,
105,0.2396,1.3656,447344080,0.008104,,,,,,,,,,,,,,,,
106,0.2071,1.4972,447344080,0.008088,,,,,,,,,,,,,,,,
107,0.2186,1.4651,447344080,0.008072,,,,,,,,,,,,,,,,
108,0.1709,1.3239,447344080,0.008056,,,,,,,,,,,,,,,,
109,0.1991,1.1458,447344080,0.008039,,,,,,,,,,,,,,,,
110,0.2370,1.2839,447344080,0.008023,,,,,,,,,,,,,,,,
111,0.1000,1.2911,447344080,0.008007,,,,,,,,,,,,,,,,
112,0.2388,1.2168,447344080,0.007991,,,,,,,,,,,,,,,,
113,0.1729,1.0849,447344080,0.007975,,,,,,,,,,,,,,,,
