round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1406,1.8887,447344080,0.010000
1,0.1677,1.9248,447344080,0.009980
2,0.1229,2.2612,447344080,0.009960
3,0.1438,2.2611,447344080,0.009940
4,0.1394,2.0406,447344080,0.009920
5,0.1777,2.0018,447344080,0.009900
6,0.2058,1.8411,447344080,0.009881
7,0.1871,1.7628,447344080,0.009861
8,0.2222,1.6656,447344080,0.009841
9,0.2434,1.6097,447344080,0.009821
10,0.2378,1.5322,447344080,0.009802
11,0.3085,1.6851,447344080,0.009782
12,0.3497,1.5463,447344080,0.009763
13,0.3406,1.5792,447344080,0.009743
14,0.3259,1.4406,447344080,0.009724
15,0.3610,1.5123,447344080,0.009704
16,0.3729,1.4376,447344080,0.009685
17,0.3730,1.3358,447344080,0.009665
18,0.3740,1.3691,447344080,0.009646
19,0.3891,1.4288,447344080,0.009627
20,0.4007,1.3574,447344080,0.009608
21,0.4049,1.3665,447344080,0.009588
22,0.3953,1.3639,447344080,0.009569
23,0.4372,1.3721,447344080,0.009550
24,0.4318,1.3325,447344080,0.009531
25,0.4131,1.3749,447344080,0.009512
26,0.4585,1.3386,447344080,0.009493
27,0.4263,1.2968,447344080,0.009474
28,0.4191,1.3590,447344080,0.009455
29,0.4638,1.2920,447344080,0.009436
30,0.4704,1.2998,447344080,0.009417
31,0.4520,1.3586,447344080,0.009398
32,0.4802,1.1947,447344080,0.009379
33,0.4597,1.2413,447344080,0.009361
34,0.4834,1.2655,447344080,0.009342
35,0.4752,1.2023,447344080,0.009323
36,0.4879,1.1540,447344080,0.009305
37,0.4736,1.1403,447344080,0.009286
38,0.4963,1.1559,447344080,0.009267
39,0.5190,1.1110,447344080,0.009249
40,0.5176,1.1075,447344080,0.009230
41,0.5222,1.0641,447344080,0.009212
42,0.5268,1.1059,447344080,0.009194
43,0.5122,1.1274,447344080,0.009175
44,0.5219,1.0602,447344080,0.009157
45,0.5289,1.0715,447344080,0.009138
46,0.5103,1.0038,447344080,0.009120
47,0.5218,1.1128,447344080,0.009102
48,0.5423,1.0543,447344080,0.009084
49,0.5370,1.1222,447344080,0.009066
50,0.5445,1.0299,447344080,0.009047
