round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.1340,1.8574,447344080,0.010000,,,,,,,,,,,,,,,,
1,0.1796,2.0815,447344080,0.009980,,,,,,,,,,,,,,,,
2,0.1569,2.5380,447344080,0.009960,,,,,,,,,,,,,,,,
3,0.1039,2.2488,447344080,0.009940,,,,,,,,,,,,,,,,
4,0.1195,1.9914,447344080,0.009920,,,,,,,,,,,,,,,,
5,0.1238,2.0510,447344080,0.009900,,,,,,,,,,,,,,,,
6,0.1305,1.9562,447344080,0.009881,,,,,,,,,,,,,,,,
7,0.1126,1.8983,447344080,0.009861,,,,,,,,,,,,,,,,
8,0.1577,1.8975,447344080,0.009841,,,,,,,,,,,,,,,,
9,0.1666,1.7282,447344080,0.009821,,,,,,,,,,,,,,,,
10,0.1402,1.6421,447344080,0.009802,,,,,,,,,,,,,,,,
11,0.2174,1.8187,447344080,0.009782,,,,,,,,,,,,,,,,
12,0.2521,1.6827,447344080,0.009763,,,,,,,,,,,,,,,,
13,0.2678,1.6859,447344080,0.009743,,,,,,,,,,,,,,,,
14,0.2744,1.6003,447344080,0.009724,,,,,,,,,,,,,,,,
15,0.2904,1.6781,447344080,0.009704,,,,,,,,,,,,,,,,
16,0.3116,1.5313,447344080,0.009685,,,,,,,,,,,,,,,,
17,0.3031,1.4770,447344080,0.009665,,,,,,,,,,,,,,,,
18,0.3127,1.5645,447344080,0.009646,,,,,,,,,,,,,,,,
19,0.3239,1.5334,447344080,0.009627,,,,,,,,,,,,,,,,
20,0.3253,1.4818,447344080,0.009608,,,,,,,,,,,,,,,,
21,0.3442,1.5588,447344080,0.009588,,,,,,,,,,,,,,,,
22,0.3394,1.5301,447344080,0.009569,,,,,,,,,,,,,,,,
23,0.3743,1.4835,447344080,0.009550,,,,,,,,,,,,,,,,
24,0.3701,1.4097,447344080,0.009531,,,,,,,,,,,,,,,,
25,0.3556,1.4945,447344080,0.009512,,,,,,,,,,,,,,,,
26,0.3870,1.4231,447344080,0.009493,,,,,,,,,,,,,,,,
27,0.3432,1.4506,447344080,0.009474,,,,,,,,,,,,,,,,
28,0.3195,1.5720,447344080,0.009455,,,,,,,,,,,,,,,,
29,0.3879,1.4360,447344080,0.009436,,,,,,,,,,,,,,,,
30,0.3905,1.4717,447344080,0.009417,,,,,,,,,,,,,,,,
31,0.3792,1.4042,447344080,0.009398,,,,,,,,,,,,,,,,
32,0.3801,1.3554,447344080,0.009379,,,,,,,,,,,,,,,,
33,0.3829,1.3622,447344080,0.009361,,,,,,,,,,,,,,,,
34,0.4153,1.4095,447344080,0.009342,,,,,,,,,,,,,,,,
35,0.3946,1.3686,447344080,0.009323,,,,,,,,,,,,,,,,
36,0.4294,1.2585,447344080,0.009305,,,,,,,,,,,,,,,,
37,0.3832,1.2798,447344080,0.009286,,,,,,,,,,,,,,,,
38,0.4323,1.3205,447344080,0.009267,,,,,,,,,,,,,,,,
39,0.4418,1.2736,447344080,0.009249,,,,,,,,,,,,,,,,
40,0.4162,1.2713,447344080,0.009230,,,,,,,,,,,,,,,,
41,0.4468,1.2479,447344080,0.009212,,,,,,,,,,,,,,,,
42,0.4359,1.2745,447344080,0.009194,,,,,,,,,,,,,,,,
43,0.4174,1.3226,447344080,0.009175,,,,,,,,,,,,,,,,
44,0.4352,1.2488,447344080,0.009157,,,,,,,,,,,,,,,,
45,0.4486,1.2470,447344080,0.009138,,,,,,,,,,,,,,,,
46,0.3864,1.2166,447344080,0.009120,,,,,,,,,,,,,,,,
47,0.4349,1.2807,447344080,0.009102,,,,,,,,,,,,,,,,
48,0.4086,1.2776,447344080,0.009084,,,,,,,,,,,,,,,,
49,0.4711,1.1985,447344080,0.009066,,,,,,,,,,,,,,,,
50,0.4467,1.2476,447344080,0.009047,,,,,,,,,,,,,,,,
51,0.4568,1.2144,447344080,0.009029,,,,,,,,,,,,,,,,
52,0.4697,1.1376,447344080,0.009011,,,,,,,,,,,,,,,,
53,0.4885,1.2003,447344080,0.008993,,,,,,,,,,,,,,,,
54,0.4914,1.2131,447344080,0.008975,,,,,,,,,,,,,,,,
55,0.5005,1.2214,447344080,0.008957,,,,,,,,,,,,,,,,
56,0.4694,1.1631,447344080,0.008939,,,,,,,,,,,,,,,,
57,0.4945,1.2713,447344080,0.008922,,,,,,,,,,,,,,,,
58,0.4938,1.0893,447344080,0.008904,,,,,,,,,,,,,,,,
59,0.4959,1.1295,447344080,0.008886,,,,,,,,,,,,,,,,
60,0.4825,1.1913,447344080,0.008868,,,,,,,,,,,,,,,,
61,0.4726,1.2226,447344080,0.008850,,,,,,,,,,,,,,,,
62,0.4903,1.0892,447344080,0.008833,,,,,,,,,,,,,,,,
63,0.5214,1.1652,447344080,0.008815,,,,,,,,,,,,,,,,
64,0.5174,1.1401,447344080,0.008797,,,,,,,,,,,,,,,,
65,0.4864,1.1387,447344080,0.008780,,,,,,,,,,,,,,,,
66,0.4949,1.0839,447344080,0.008762,,,,,,,,,,,,,,,,
67,0.5123,1.1311,447344080,0.008745,,,,,,,,,,,,,,,,
68,0.5193,1.0871,447344080,0.008727,,,,,,,,,,,,,,,,
69,0.4884,1.0809,447344080,0.008710,,,,,,,,,,,,,,,,
70,0.5185,1.1560,447344080,0.008692,,,,,,,,,,,,,,,,
71,0.5054,1.0656,447344080,0.008675,,,,,,,,,,,,,,,,
72,0.5442,1.1103,447344080,0.008658,,,,,,,,,,,,,,,,
73,0.5367,1.1106,447344080,0.008640,,,,,,,,,,,,,,,,
74,0.5271,1.0847,447344080,0.008623,,,,,,,,,,,,,,,,
75,0.5235,1.0583,447344080,0.008606,,,,,,,,,,,,,,,,
76,0.5412,1.0200,447344080,0.008589,,,,,,,,,,,,,,,,
77,0.5439,1.0962,447344080,0.008571,,,,,,,,,,,,,,,,
78,0.5398,1.0336,447344080,0.008554,,,,,,,,,,,,,,,,
79,0.5437,0.9987,447344080,0.008537,,,,,,,,,,,,,,,,
80,0.5286,1.0057,447344080,0.008520,,,,,,,,,,,,,,,,
81,0.5355,0.9969,447344080,0.008503,,,,,,,,,,,,,,,,
82,0.5765,0.9933,447344080,0.008486,,,,,,,,,,,,,,,,
83,0.5614,1.0086,447344080,0.008469,,,,,,,,,,,,,,,,
84,0.5771,0.9809,447344080,0.008452,,,,,,,,,,,,,,,,
85,0.5662,0.9635,447344080,0.008435,,,,,,,,,,,,,,,,
86,0.5711,0.9824,447344080,0.008418,,,,,,,,,,,,,,,,
87,0.5687,0.9774,447344080,0.008402,,,,,,,,,,,,,,,,
88,0.5718,0.9347,447344080,0.008385,,,,,,,,,,,,,,,,
89,0.5667,0.9523,447344080,0.008368,,,,,,,,,,,,,,,,
90,0.5373,0.9587,447344080,0.008351,,,,,,,,,,,,,,,,
91,0.5802,1.0053,447344080,0.008334,,,,,,,,,,,,,,,,
92,0.5885,0.9391,447344080,0.008318,,,,,,,,,,,,,,,,
93,0.5711,0.8909,447344080,0.008301,,,,,,,,,,,,,,,,
94,0.6036,0.8878,447344080,0.008285,,,,,,,,,,,,,,,,
95,0.5861,0.9536,447344080,0.008268,,,,,,,,,,,,,,,,
96,0.5444,0.9439,447344080,0.008251,,,,,,,,,,,,,,,,
97,0.6010,0.9105,447344080,0.008235,,,,,,,,,,,,,,,,
98,0.5791,0.9717,447344080,0.008219,,,,,,,,,,,,,,,,
99,0.6164,0.9348,447344080,0.008202,,,,,,,,,,,,,,,,
100,0.5887,0.8486,447344080,0.008186,,,,,,,,,,,,,,,,
101,0.6202,0.9235,447344080,0.008169,,,,,,,,,,,,,,,,
102,0.6228,0.8708,447344080,0.008153,,,,,,,,,,,,,,,,
103,0.6103,0.8639,447344080,0.008137,,,,,,,,,,,,,,,,
104,0.6321,0.8554,447344080,0.008120,,,,,,,,,,,,,,,,
105,0.6329,0.8432,447344080,0.008104,,,,,,,,,,,,,,,,
106,0.6076,0.9504,447344080,0.008088,,,,,,,,,,,,,,,,
